date,metric,value,unit,source,fetched_at,raw_ref
2020-01-01,AporEner,132549100,kWh,xm:servapibi,2026-09-22T19:10:49Z,xm/2020/01/AporEner_Sistema.ndjson.gz#AporEner:Sistema:2020-01-01:2020-01-31
2020-01-01,AporEnerMediHist,99390000,kWh,xm:servapibi,2026-09-22T19:10:50Z,xm/2020/01/AporEnerMediHist_Sistema.ndjson.gz#AporEnerMediHist:Sistema:2020-01-01:2020-01-31
2020-01-01,CapaUtilDiarEner,16900891992,kWh,xm:servapibi,2026-09-22T19:10:48Z,xm/2020/01/CapaUtilDiarEner_Sistema.ndjson.gz#CapaUtilDiarEner:Sistema:2020-01-01:2020-01-31
2020-01-01,DemaSIN,155506551.19,kWh,xm:servapibi,2026-09-22T19:10:53Z,xm/2020/01/DemaSIN_Sistema.ndjson.gz#DemaSIN:Sistema:2020-01-01:2020-01-31
2020-01-01,PorcApor,1.33363,fraction,xm:servapibi,2026-09-22T19:10:52Z,xm/2020/01/PorcApor_Sistema.ndjson.gz#PorcApor:Sistema:2020-01-01:2020-01-31
2020-01-01,PorcVoluUtilDiar,0.65934,fraction,xm:servapibi,2026-09-22T19:10:45Z,xm/2020/01/PorcVoluUtilDiar_Sistema.ndjson.gz#PorcVoluUtilDiar:Sistema:2020-01-01:2020-01-31
2020-01-01,PrecBolsNaci,136.49220333333335,COP/kWh,xm:servapibi,2026-09-22T19:10:56Z,xm/2020/01/PrecBolsNaci_Sistema.ndjson.gz#PrecBolsNaci:Sistema:2020-01-01:2020-01-31
2020-01-01,PrecEscaAct,627.21279,COP/kWh,xm:servapibi,2026-09-22T19:10:54Z,xm/2020/01/PrecEscaAct_Sistema.ndjson.gz#PrecEscaAct:Sistema:2020-01-01:2020-01-31
2020-01-01,VoluUtilDiarEner,11143407100,kWh,xm:servapibi,2026-09-22T19:10:46Z,xm/2020/01/VoluUtilDiarEner_Sistema.ndjson.gz#VoluUtilDiarEner:Sistema:2020-01-01:2020-01-31
2020-01-02,AporEner,111798800,kWh,xm:servapibi,2026-09-22T19:10:49Z,xm/2020/01/AporEner_Sistema.ndjson.gz#AporEner:Sistema:2020-01-01:2020-01-31
2020-01-02,AporEnerMediHist,99390000,kWh,xm:servapibi,2026-09-22T19:10:50Z,xm/2020/01/AporEnerMediHist_Sistema.ndjson.gz#AporEnerMediHist:Sistema:2020-01-01:2020-01-31
2020-01-02,CapaUtilDiarEner,16900891992,kWh,xm:servapibi,2026-09-22T19:10:48Z,xm/2020/01/CapaUtilDiarEner_Sistema.ndjson.gz#CapaUtilDiarEner:Sistema:2020-01-01:2020-01-31
