date,metric,value,unit,source,fetched_at,raw_ref
2018-01-01,AporEner,130937300,kWh,xm:servapibi,2026-09-22T19:04:52Z,xm/2018/01/AporEner_Sistema.ndjson.gz#AporEner:Sistema:2018-01-01:2018-01-31
2018-01-01,AporEnerMediHist,103370000,kWh,xm:servapibi,2026-09-22T19:04:53Z,xm/2018/01/AporEnerMediHist_Sistema.ndjson.gz#AporEnerMediHist:Sistema:2018-01-01:2018-01-31
2018-01-01,CapaUtilDiarEner,17179992502,kWh,xm:servapibi,2026-09-22T19:04:51Z,xm/2018/01/CapaUtilDiarEner_Sistema.ndjson.gz#CapaUtilDiarEner:Sistema:2018-01-01:2018-01-31
2018-01-01,DemaSIN,139833781.18,kWh,xm:servapibi,2026-09-22T19:04:56Z,xm/2018/01/DemaSIN_Sistema.ndjson.gz#DemaSIN:Sistema:2018-01-01:2018-01-31
2018-01-01,PorcApor,1.26669,fraction,xm:servapibi,2026-09-22T19:04:55Z,xm/2018/01/PorcApor_Sistema.ndjson.gz#PorcApor:Sistema:2018-01-01:2018-01-31
2018-01-01,PorcVoluUtilDiar,0.64686,fraction,xm:servapibi,2026-09-22T19:04:48Z,xm/2018/01/PorcVoluUtilDiar_Sistema.ndjson.gz#PorcVoluUtilDiar:Sistema:2018-01-01:2018-01-31
2018-01-01,PrecBolsNaci,121.03208166666666,COP/kWh,xm:servapibi,2026-09-22T19:04:59Z,xm/2018/01/PrecBolsNaci_Sistema.ndjson.gz#PrecBolsNaci:Sistema:2018-01-01:2018-01-31
2018-01-01,PrecEscaAct,563.55605,COP/kWh,xm:servapibi,2026-09-22T19:04:57Z,xm/2018/01/PrecEscaAct_Sistema.ndjson.gz#PrecEscaAct:Sistema:2018-01-01:2018-01-31
2018-01-01,VoluUtilDiarEner,11113080100,kWh,xm:servapibi,2026-09-22T19:04:49Z,xm/2018/01/VoluUtilDiarEner_Sistema.ndjson.gz#VoluUtilDiarEner:Sistema:2018-01-01:2018-01-31
2018-01-02,AporEner,136647500,kWh,xm:servapibi,2026-09-22T19:04:52Z,xm/2018/01/AporEner_Sistema.ndjson.gz#AporEner:Sistema:2018-01-01:2018-01-31
2018-01-02,AporEnerMediHist,103370000,kWh,xm:servapibi,2026-09-22T19:04:53Z,xm/2018/01/AporEnerMediHist_Sistema.ndjson.gz#AporEnerMediHist:Sistema:2018-01-01:2018-01-31
2018-01-02,CapaUtilDiarEner,17179992502,kWh,xm:servapibi,2026-09-22T19:04:51Z,xm/2018/01/CapaUtilDiarEner_Sistema.ndjson.gz#CapaUtilDiarEner:Sistema:2018-01-01:2018-01-31
2018-01-02,DemaSIN,163233839.1,kWh,xm:servapibi,2026-09-22T19:04:56Z,xm/2018/01/DemaSIN_Sistema.ndjson.gz#DemaSIN:Sistema:2018-01-01:2018-01-31
2018-01-02,PorcApor,1.32193,fraction,xm:servapibi,2026-09-22T19:04:55Z,xm/2018/01/PorcApor_Sistema.ndjson.gz#PorcApor:Sistema:2018-01-01:2018-01-31
2018-01-02,PorcVoluUtilDiar,0.64794,fraction,xm:servapibi,2026-09-22T19:04:48Z,xm/2018/01/PorcVoluUtilDiar_Sistema.ndjson.gz#PorcVoluUtilDiar:Sistema:2018-01-01:2018-01-31
2018-01-02,PrecBolsNaci,136.31951499999994,COP/kWh,xm:servapibi,2026-09-22T19:04:59Z,xm/2018/01/PrecBolsNaci_Sistema.ndjson.gz#PrecBolsNaci:Sistema:2018-01-01:2018-01-31
2018-01-02,PrecEscaAct,563.55605,COP/kWh,xm:servapibi,2026-09-22T19:04:57Z,xm/2018/01/PrecEscaAct_Sistema.ndjson.gz#PrecEscaAct:Sistema:2018-01-01:2018-01-31
2018-01-02,VoluUtilDiarEner,11131663000,kWh,xm:servapibi,2026-09-22T19:04:49Z,xm/2018/01/VoluUtilDiarEner_Sistema.ndjson.gz#VoluUtilDiarEner:Sistema:2018-01-01:2018-01-31
2018-01-03,AporEner,150155200,kWh,xm:servapibi,2026-09-22T19:04:52Z,xm/2018/01/AporEner_Sistema.ndjson.gz#AporEner:Sistema:2018-01-01:2018-01-31
2018-01-03,AporEnerMediHist,103370000,kWh,xm:servapibi,2026-09-22T19:04:53Z,xm/2018/01/AporEnerMediHist_Sistema.ndjson.gz#AporEnerMediHist:Sistema:2018-01-01:2018-01-31
2018-01-03,CapaUtilDiarEner,17179992502,kWh,xm:servapibi,2026-09-22T19:04:51Z,xm/2018/01/CapaUtilDiarEner_Sistema.ndjson.gz#CapaUtilDiarEner:Sistema:2018-01-01:2018-01-31
2018-01-03,DemaSIN,173741589.65,kWh,xm:servapibi,2026-09-22T19:04:56Z,xm/2018/01/DemaSIN_Sistema.ndjson.gz#DemaSIN:Sistema:2018-01-01:2018-01-31
2018-01-03,PorcApor,1.4526,fraction,xm:servapibi,2026-09-22T19:04:55Z,xm/2018/01/PorcApor_Sistema.ndjson.gz#PorcApor:Sistema:2018-01-01:2018-01-31
2018-01-03,PorcVoluUtilDiar,0.64868,fraction,xm:servapibi,2026-09-22T19:04:48Z,xm/2018/01/PorcVoluUtilDiar_Sistema.ndjson.gz#PorcVoluUtilDiar:Sistema:2018-01-01:2018-01-31
2018-01-03,PrecBolsNaci,135.0423283333333,COP/kWh,xm:servapibi,2026-09-22T19:04:59Z,xm/2018/01/PrecBolsNaci_Sistema.ndjson.gz#PrecBolsNaci:Sistema:2018-01-01:2018-01-31
2018-01-03,PrecEscaAct,563.55605,COP/kWh,xm:servapibi,2026-09-22T19:04:57Z,xm/2018/01/PrecEscaAct_Sistema.ndjson.gz#PrecEscaAct:Sistema:2018-01-01:2018-01-31
