date,metric,value,unit,source,fetched_at,raw_ref
2016-05-04,AporEnerMediHist,225110000,kWh,xm:servapibi,2026-09-22T18:59:21Z,xm/2016/05/AporEnerMediHist_Sistema.ndjson.gz#AporEnerMediHist:Sistema:2016-05-01:2016-05-31
2016-05-04,CapaUtilDiarEner,17285928633,kWh,xm:servapibi,2026-09-22T18:59:19Z,xm/2016/05/CapaUtilDiarEner_Sistema.ndjson.gz#CapaUtilDiarEner:Sistema:2016-05-01:2016-05-31
2016-05-04,DemaSIN,184259946.33,kWh,xm:servapibi,2026-09-22T18:59:24Z,xm/2016/05/DemaSIN_Sistema.ndjson.gz#DemaSIN:Sistema:2016-05-01:2016-05-31
2016-05-04,PorcApor,0.76046,fraction,xm:servapibi,2026-09-22T18:59:22Z,xm/2016/05/PorcApor_Sistema.ndjson.gz#PorcApor:Sistema:2016-05-01:2016-05-31
2016-05-04,PorcVoluUtilDiar,0.41097,fraction,xm:servapibi,2026-09-22T18:59:16Z,xm/2016/05/PorcVoluUtilDiar_Sistema.ndjson.gz#PorcVoluUtilDiar:Sistema:2016-05-01:2016-05-31
2016-05-04,PrecBolsNaci,157.39591333333337,COP/kWh,xm:servapibi,2026-09-22T18:59:27Z,xm/2016/05/PrecBolsNaci_Sistema.ndjson.gz#PrecBolsNaci:Sistema:2016-05-01:2016-05-31
2016-05-04,VoluUtilDiarEner,7103946400,kWh,xm:servapibi,2026-09-22T18:59:17Z,xm/2016/05/VoluUtilDiarEner_Sistema.ndjson.gz#VoluUtilDiarEner:Sistema:2016-05-01:2016-05-31
2016-05-05,AporEner,120457400,kWh,xm:servapibi,2026-09-22T18:59:20Z,xm/2016/05/AporEner_Sistema.ndjson.gz#AporEner:Sistema:2016-05-01:2016-05-31
2016-05-05,AporEnerMediHist,225110000,kWh,xm:servapibi,2026-09-22T18:59:21Z,xm/2016/05/AporEnerMediHist_Sistema.ndjson.gz#AporEnerMediHist:Sistema:2016-05-01:2016-05-31
2016-05-05,CapaUtilDiarEner,17285928633,kWh,xm:servapibi,2026-09-22T18:59:19Z,xm/2016/05/CapaUtilDiarEner_Sistema.ndjson.gz#CapaUtilDiarEner:Sistema:2016-05-01:2016-05-31
2016-05-05,DemaSIN,187340010.13,kWh,xm:servapibi,2026-09-22T18:59:24Z,xm/2016/05/DemaSIN_Sistema.ndjson.gz#DemaSIN:Sistema:2016-05-01:2016-05-31
2016-05-05,PorcApor,0.5351,fraction,xm:servapibi,2026-09-22T18:59:22Z,xm/2016/05/PorcApor_Sistema.ndjson.gz#PorcApor:Sistema:2016-05-01:2016-05-31
2016-05-05,PorcVoluUtilDiar,0.40901,fraction,xm:servapibi,2026-09-22T18:59:16Z,xm/2016/05/PorcVoluUtilDiar_Sistema.ndjson.gz#PorcVoluUtilDiar:Sistema:2016-05-01:2016-05-31
2016-05-05,PrecBolsNaci,152.02085666666673,COP/kWh,xm:servapibi,2026-09-22T18:59:27Z,xm/2016/05/PrecBolsNaci_Sistema.ndjson.gz#PrecBolsNaci:Sistema:2016-05-01:2016-05-31
2016-05-05,VoluUtilDiarEner,7070052000,kWh,xm:servapibi,2026-09-22T18:59:17Z,xm/2016/05/VoluUtilDiarEner_Sistema.ndjson.gz#VoluUtilDiarEner:Sistema:2016-05-01:2016-05-31
2016-05-06,AporEner,167895700,kWh,xm:servapibi,2026-09-22T18:59:20Z,xm/2016/05/AporEner_Sistema.ndjson.gz#AporEner:Sistema:2016-05-01:2016-05-31
2016-05-06,AporEnerMediHist,225110000,kWh,xm:servapibi,2026-09-22T18:59:21Z,xm/2016/05/AporEnerMediHist_Sistema.ndjson.gz#AporEnerMediHist:Sistema:2016-05-01:2016-05-31
2016-05-06,CapaUtilDiarEner,17285928633,kWh,xm:servapibi,2026-09-22T18:59:19Z,xm/2016/05/CapaUtilDiarEner_Sistema.ndjson.gz#CapaUtilDiarEner:Sistema:2016-05-01:2016-05-31
2016-05-06,DemaSIN,186401327.78,kWh,xm:servapibi,2026-09-22T18:59:24Z,xm/2016/05/DemaSIN_Sistema.ndjson.gz#DemaSIN:Sistema:2016-05-01:2016-05-31
2016-05-06,PorcApor,0.74584,fraction,xm:servapibi,2026-09-22T18:59:22Z,xm/2016/05/PorcApor_Sistema.ndjson.gz#PorcApor:Sistema:2016-05-01:2016-05-31
2016-05-06,PorcVoluUtilDiar,0.40962,fraction,xm:servapibi,2026-09-22T18:59:16Z,xm/2016/05/PorcVoluUtilDiar_Sistema.ndjson.gz#PorcVoluUtilDiar:Sistema:2016-05-01:2016-05-31
2016-05-06,PrecBolsNaci,130.26273,COP/kWh,xm:servapibi,2026-09-22T18:59:27Z,xm/2016/05/PrecBolsNaci_Sistema.ndjson.gz#PrecBolsNaci:Sistema:2016-05-01:2016-05-31
2016-05-06,VoluUtilDiarEner,7080725400,kWh,xm:servapibi,2026-09-22T18:59:17Z,xm/2016/05/VoluUtilDiarEner_Sistema.ndjson.gz#VoluUtilDiarEner:Sistema:2016-05-01:2016-05-31
2016-05-07,AporEner,176526900,kWh,xm:servapibi,2026-09-22T18:59:20Z,xm/2016/05/AporEner_Sistema.ndjson.gz#AporEner:Sistema:2016-05-01:2016-05-31
2016-05-07,AporEnerMediHist,225110000,kWh,xm:servapibi,2026-09-22T18:59:21Z,xm/2016/05/AporEnerMediHist_Sistema.ndjson.gz#AporEnerMediHist:Sistema:2016-05-01:2016-05-31
2016-05-07,CapaUtilDiarEner,17285928633,kWh,xm:servapibi,2026-09-22T18:59:19Z,xm/2016/05/CapaUtilDiarEner_Sistema.ndjson.gz#CapaUtilDiarEner:Sistema:2016-05-01:2016-05-31
2016-05-07,DemaSIN,174006920.3,kWh,xm:servapibi,2026-09-22T18:59:24Z,xm/2016/05/DemaSIN_Sistema.ndjson.gz#DemaSIN:Sistema:2016-05-01:2016-05-31
2016-05-07,PorcApor,0.78418,fraction,xm:servapibi,2026-09-22T18:59:22Z,xm/2016/05/PorcApor_Sistema.ndjson.gz#PorcApor:Sistema:2016-05-01:2016-05-31
2016-05-07,PorcVoluUtilDiar,0.41089,fraction,xm:servapibi,2026-09-22T18:59:16Z,xm/2016/05/PorcVoluUtilDiar_Sistema.ndjson.gz#PorcVoluUtilDiar:Sistema:2016-05-01:2016-05-31
2016-05-07,PrecBolsNaci,142.3670633333334,COP/kWh,xm:servapibi,2026-09-22T18:59:27Z,xm/2016/05/PrecBolsNaci_Sistema.ndjson.gz#PrecBolsNaci:Sistema:2016-05-01:2016-05-31
2016-05-07,VoluUtilDiarEner,7102596000,kWh,xm:servapibi,2026-09-22T18:59:17Z,xm/2016/05/VoluUtilDiarEner_Sistema.ndjson.gz#VoluUtilDiarEner:Sistema:2016-05-01:2016-05-31
2016-05-08,AporEner,155034200,kWh,xm:servapibi,2026-09-22T18:59:20Z,xm/2016/05/AporEner_Sistema.ndjson.gz#AporEner:Sistema:2016-05-01:2016-05-31
2016-05-08,AporEnerMediHist,225110000,kWh,xm:servapibi,2026-09-22T18:59:21Z,xm/2016/05/AporEnerMediHist_Sistema.ndjson.gz#AporEnerMediHist:Sistema:2016-05-01:2016-05-31
2016-05-08,CapaUtilDiarEner,17285928633,kWh,xm:servapibi,2026-09-22T18:59:19Z,xm/2016/05/CapaUtilDiarEner_Sistema.ndjson.gz#CapaUtilDiarEner:Sistema:2016-05-01:2016-05-31
2016-05-08,DemaSIN,150713769.07,kWh,xm:servapibi,2026-09-22T18:59:24Z,xm/2016/05/DemaSIN_Sistema.ndjson.gz#DemaSIN:Sistema:2016-05-01:2016-05-31
2016-05-08,PorcApor,0.6887,fraction,xm:servapibi,2026-09-22T18:59:22Z,xm/2016/05/PorcApor_Sistema.ndjson.gz#PorcApor:Sistema:2016-05-01:2016-05-31
2016-05-08,PorcVoluUtilDiar,0.41276,fraction,xm:servapibi,2026-09-22T18:59:16Z,xm/2016/05/PorcVoluUtilDiar_Sistema.ndjson.gz#PorcVoluUtilDiar:Sistema:2016-05-01:2016-05-31
2016-05-08,PrecBolsNaci,133.5286816666667,COP/kWh,xm:servapibi,2026-09-22T18:59:27Z,xm/2016/05/PrecBolsNaci_Sistema.ndjson.gz#PrecBolsNaci:Sistema:2016-05-01:2016-05-31
2016-05-08,VoluUtilDiarEner,7134882300,kWh,xm:servapibi,2026-09-22T18:59:17Z,xm/2016/05/VoluUtilDiarEner_Sistema.ndjson.gz#VoluUtilDiarEner:Sistema:2016-05-01:2016-05-31
2016-05-09,AporEner,209489000,kWh,xm:servapibi,2026-09-22T18:59:20Z,xm/2016/05/AporEner_Sistema.ndjson.gz#AporEner:Sistema:2016-05-01:2016-05-31
2016-05-09,AporEnerMediHist,225110000,kWh,xm:servapibi,2026-09-22T18:59:21Z,xm/2016/05/AporEnerMediHist_Sistema.ndjson.gz#AporEnerMediHist:Sistema:2016-05-01:2016-05-31
2016-05-09,CapaUtilDiarEner,17285928633,kWh,xm:servapibi,2026-09-22T18:59:19Z,xm/2016/05/CapaUtilDiarEner_Sistema.ndjson.gz#CapaUtilDiarEner:Sistema:2016-05-01:2016-05-31
2016-05-09,DemaSIN,154323551.73,kWh,xm:servapibi,2026-09-22T18:59:24Z,xm/2016/05/DemaSIN_Sistema.ndjson.gz#DemaSIN:Sistema:2016-05-01:2016-05-31
2016-05-09,PorcApor,0.93061,fraction,xm:servapibi,2026-09-22T18:59:22Z,xm/2016/05/PorcApor_Sistema.ndjson.gz#PorcApor:Sistema:2016-05-01:2016-05-31
