date,metric,value,unit,source,fetched_at,raw_ref
2017-01-01,AporEner,137712300,kWh,xm:servapibi,2026-09-22T19:39:59Z,xm/2017/01/AporEner_Sistema.2017-01-01.ndjson#AporEner:Sistema:2017-01-01:2017-01-31
2017-01-01,AporEnerMediHist,100350000,kWh,xm:servapibi,2026-09-22T19:40:00Z,xm/2017/01/AporEnerMediHist_Sistema.2017-01-01.ndjson#AporEnerMediHist:Sistema:2017-01-01:2017-01-31
2017-01-01,CapaUtilDiarEner,17042783231,kWh,xm:servapibi,2026-09-22T19:39:58Z,xm/2017/01/CapaUtilDiarEner_Sistema.2017-01-01.ndjson#CapaUtilDiarEner:Sistema:2017-01-01:2017-01-31
2017-01-01,DemaSIN,139436497.67,kWh,xm:servapibi,2026-09-22T19:40:03Z,xm/2017/01/DemaSIN_Sistema.2017-01-01.ndjson#DemaSIN:Sistema:2017-01-01:2017-01-31
2017-01-01,PorcApor,1.37232,fraction,xm:servapibi,2026-09-22T19:40:01Z,xm/2017/01/PorcApor_Sistema.2017-01-01.ndjson#PorcApor:Sistema:2017-01-01:2017-01-31
2017-01-01,PorcVoluUtilDiar,0.7389,fraction,xm:servapibi,2026-09-22T19:39:55Z,xm/2017/01/PorcVoluUtilDiar_Sistema.2017-01-01.ndjson#PorcVoluUtilDiar:Sistema:2017-01-01:2017-01-31
2017-01-01,PrecBolsNaci,83.13108499999996,COP/kWh,xm:servapibi,2026-09-22T19:40:05Z,xm/2017/01/PrecBolsNaci_Sistema.2017-01-01.ndjson#PrecBolsNaci:Sistema:2017-01-01:2017-01-31
2017-01-01,VoluUtilDiarEner,12592867900,kWh,xm:servapibi,2026-09-22T19:39:56Z,xm/2017/01/VoluUtilDiarEner_Sistema.2017-01-01.ndjson#VoluUtilDiarEner:Sistema:2017-01-01:2017-01-31
2017-01-02,AporEner,125385900,kWh,xm:servapibi,2026-09-22T19:39:59Z,xm/2017/01/AporEner_Sistema.2017-01-01.ndjson#AporEner:Sistema:2017-01-01:2017-01-31
2017-01-02,AporEnerMediHist,100350000,kWh,xm:servapibi,2026-09-22T19:40:00Z,xm/2017/01/AporEnerMediHist_Sistema.2017-01-01.ndjson#AporEnerMediHist:Sistema:2017-01-01:2017-01-31
2017-01-02,CapaUtilDiarEner,17042783231,kWh,xm:servapibi,2026-09-22T19:39:58Z,xm/2017/01/CapaUtilDiarEner_Sistema.2017-01-01.ndjson#CapaUtilDiarEner:Sistema:2017-01-01:2017-01-31
2017-01-02,DemaSIN,163705691.66,kWh,xm:servapibi,2026-09-22T19:40:03Z,xm/2017/01/DemaSIN_Sistema.2017-01-01.ndjson#DemaSIN:Sistema:2017-01-01:2017-01-31
2017-01-02,PorcApor,1.24949,fraction,xm:servapibi,2026-09-22T19:40:01Z,xm/2017/01/PorcApor_Sistema.2017-01-01.ndjson#PorcApor:Sistema:2017-01-01:2017-01-31
2017-01-02,PorcVoluUtilDiar,0.73719,fraction,xm:servapibi,2026-09-22T19:39:55Z,xm/2017/01/PorcVoluUtilDiar_Sistema.2017-01-01.ndjson#PorcVoluUtilDiar:Sistema:2017-01-01:2017-01-31
2017-01-02,PrecBolsNaci,86.26899000000002,COP/kWh,xm:servapibi,2026-09-22T19:40:05Z,xm/2017/01/PrecBolsNaci_Sistema.2017-01-01.ndjson#PrecBolsNaci:Sistema:2017-01-01:2017-01-31
2017-01-02,VoluUtilDiarEner,12563829000,kWh,xm:servapibi,2026-09-22T19:39:56Z,xm/2017/01/VoluUtilDiarEner_Sistema.2017-01-01.ndjson#VoluUtilDiarEner:Sistema:2017-01-01:2017-01-31
2017-01-03,AporEner,100514800,kWh,xm:servapibi,2026-09-22T19:39:59Z,xm/2017/01/AporEner_Sistema.2017-01-01.ndjson#AporEner:Sistema:2017-01-01:2017-01-31
2017-01-03,AporEnerMediHist,100350000,kWh,xm:servapibi,2026-09-22T19:40:00Z,xm/2017/01/AporEnerMediHist_Sistema.2017-01-01.ndjson#AporEnerMediHist:Sistema:2017-01-01:2017-01-31
2017-01-03,CapaUtilDiarEner,17042783231,kWh,xm:servapibi,2026-09-22T19:39:58Z,xm/2017/01/CapaUtilDiarEner_Sistema.2017-01-01.ndjson#CapaUtilDiarEner:Sistema:2017-01-01:2017-01-31
2017-01-03,DemaSIN,174789369.69,kWh,xm:servapibi,2026-09-22T19:40:03Z,xm/2017/01/DemaSIN_Sistema.2017-01-01.ndjson#DemaSIN:Sistema:2017-01-01:2017-01-31
2017-01-03,PorcApor,1.00164,fraction,xm:servapibi,2026-09-22T19:40:01Z,xm/2017/01/PorcApor_Sistema.2017-01-01.ndjson#PorcApor:Sistema:2017-01-01:2017-01-31
2017-01-03,PorcVoluUtilDiar,0.73015,fraction,xm:servapibi,2026-09-22T19:39:55Z,xm/2017/01/PorcVoluUtilDiar_Sistema.2017-01-01.ndjson#PorcVoluUtilDiar:Sistema:2017-01-01:2017-01-31
