date,metric,value,unit,source,fetched_at,raw_ref
2022-01-01,AporEner,109542700,kWh,xm:servapibi,2026-09-22T19:16:47Z,xm/2022/01/AporEner_Sistema.2022-01-01.ndjson#AporEner:Sistema:2022-01-01:2022-01-31
2022-01-01,AporEnerMediHist,98100000,kWh,xm:servapibi,2026-09-22T19:16:48Z,xm/2022/01/AporEnerMediHist_Sistema.2022-01-01.ndjson#AporEnerMediHist:Sistema:2022-01-01:2022-01-31
2022-01-01,CapaUtilDiarEner,16835523220,kWh,xm:servapibi,2026-09-22T19:16:46Z,xm/2022/01/CapaUtilDiarEner_Sistema.2022-01-01.ndjson#CapaUtilDiarEner:Sistema:2022-01-01:2022-01-31
2022-01-01,DemaSIN,165336259.4,kWh,xm:servapibi,2026-09-22T19:16:51Z,xm/2022/01/DemaSIN_Sistema.2022-01-01.ndjson#DemaSIN:Sistema:2022-01-01:2022-01-31
2022-01-01,PorcApor,1.11664,fraction,xm:servapibi,2026-09-22T19:16:50Z,xm/2022/01/PorcApor_Sistema.2022-01-01.ndjson#PorcApor:Sistema:2022-01-01:2022-01-31
2022-01-01,PorcVoluUtilDiar,0.79065,fraction,xm:servapibi,2026-09-22T19:16:43Z,xm/2022/01/PorcVoluUtilDiar_Sistema.2022-01-01.ndjson#PorcVoluUtilDiar:Sistema:2022-01-01:2022-01-31
2022-01-01,PrecBolsNaci,195.05597666666662,COP/kWh,xm:servapibi,2026-09-22T19:16:54Z,xm/2022/01/PrecBolsNaci_Sistema.2022-01-01.ndjson#PrecBolsNaci:Sistema:2022-01-01:2022-01-31
2022-01-01,PrecEscaAct,885.72915,COP/kWh,xm:servapibi,2026-09-22T19:16:52Z,xm/2022/01/PrecEscaAct_Sistema.2022-01-01.ndjson#PrecEscaAct:Sistema:2022-01-01:2022-01-31
2022-01-01,VoluUtilDiarEner,13311051600,kWh,xm:servapibi,2026-09-22T19:16:44Z,xm/2022/01/VoluUtilDiarEner_Sistema.2022-01-01.ndjson#VoluUtilDiarEner:Sistema:2022-01-01:2022-01-31
2022-01-02,AporEner,110856500,kWh,xm:servapibi,2026-09-22T19:16:47Z,xm/2022/01/AporEner_Sistema.2022-01-01.ndjson#AporEner:Sistema:2022-01-01:2022-01-31
2022-01-02,AporEnerMediHist,98100000,kWh,xm:servapibi,2026-09-22T19:16:48Z,xm/2022/01/AporEnerMediHist_Sistema.2022-01-01.ndjson#AporEnerMediHist:Sistema:2022-01-01:2022-01-31
2022-01-02,CapaUtilDiarEner,16835523220,kWh,xm:servapibi,2026-09-22T19:16:46Z,xm/2022/01/CapaUtilDiarEner_Sistema.2022-01-01.ndjson#CapaUtilDiarEner:Sistema:2022-01-01:2022-01-31
