date,metric,value,unit,source,fetched_at,raw_ref
2023-01-01,AporEner,142847700,kWh,xm:servapibi,2026-09-22T19:19:50Z,xm/2023/01/AporEner_Sistema.ndjson.gz#AporEner:Sistema:2023-01-01:2023-01-31
2023-01-01,AporEnerMediHist,134760000,kWh,xm:servapibi,2026-09-22T19:19:51Z,xm/2023/01/AporEnerMediHist_Sistema.ndjson.gz#AporEnerMediHist:Sistema:2023-01-01:2023-01-31
2023-01-01,CapaUtilDiarEner,18194181867,kWh,xm:servapibi,2026-09-22T19:19:49Z,xm/2023/01/CapaUtilDiarEner_Sistema.ndjson.gz#CapaUtilDiarEner:Sistema:2023-01-01:2023-01-31
2023-01-01,DemaSIN,168120696.93,kWh,xm:servapibi,2026-09-22T19:19:54Z,xm/2023/01/DemaSIN_Sistema.ndjson.gz#DemaSIN:Sistema:2023-01-01:2023-01-31
2023-01-01,PorcApor,1.06002,fraction,xm:servapibi,2026-09-22T19:19:53Z,xm/2023/01/PorcApor_Sistema.ndjson.gz#PorcApor:Sistema:2023-01-01:2023-01-31
2023-01-01,PorcVoluUtilDiar,0.79006,fraction,xm:servapibi,2026-09-22T19:19:46Z,xm/2023/01/PorcVoluUtilDiar_Sistema.ndjson.gz#PorcVoluUtilDiar:Sistema:2023-01-01:2023-01-31
2023-01-01,PrecBolsNaci,499.8596633333334,COP/kWh,xm:servapibi,2026-09-22T19:19:57Z,xm/2023/01/PrecBolsNaci_Sistema.ndjson.gz#PrecBolsNaci:Sistema:2023-01-01:2023-01-31
2023-01-01,PrecEscaAct,1309.80228,COP/kWh,xm:servapibi,2026-09-22T19:19:55Z,xm/2023/01/PrecEscaAct_Sistema.ndjson.gz#PrecEscaAct:Sistema:2023-01-01:2023-01-31
2023-01-01,VoluUtilDiarEner,14374445700,kWh,xm:servapibi,2026-09-22T19:19:47Z,xm/2023/01/VoluUtilDiarEner_Sistema.ndjson.gz#VoluUtilDiarEner:Sistema:2023-01-01:2023-01-31
2023-01-02,AporEner,163493400,kWh,xm:servapibi,2026-09-22T19:19:50Z,xm/2023/01/AporEner_Sistema.ndjson.gz#AporEner:Sistema:2023-01-01:2023-01-31
2023-01-02,AporEnerMediHist,134760000,kWh,xm:servapibi,2026-09-22T19:19:51Z,xm/2023/01/AporEnerMediHist_Sistema.ndjson.gz#AporEnerMediHist:Sistema:2023-01-01:2023-01-31
2023-01-02,CapaUtilDiarEner,18194181867,kWh,xm:servapibi,2026-09-22T19:19:49Z,xm/2023/01/CapaUtilDiarEner_Sistema.ndjson.gz#CapaUtilDiarEner:Sistema:2023-01-01:2023-01-31
2023-01-02,DemaSIN,192255380.55,kWh,xm:servapibi,2026-09-22T19:19:54Z,xm/2023/01/DemaSIN_Sistema.ndjson.gz#DemaSIN:Sistema:2023-01-01:2023-01-31
2023-01-02,PorcApor,1.21322,fraction,xm:servapibi,2026-09-22T19:19:53Z,xm/2023/01/PorcApor_Sistema.ndjson.gz#PorcApor:Sistema:2023-01-01:2023-01-31
2023-01-02,PorcVoluUtilDiar,0.78828,fraction,xm:servapibi,2026-09-22T19:19:46Z,xm/2023/01/PorcVoluUtilDiar_Sistema.ndjson.gz#PorcVoluUtilDiar:Sistema:2023-01-01:2023-01-31
2023-01-02,PrecBolsNaci,510.9093599999998,COP/kWh,xm:servapibi,2026-09-22T19:19:57Z,xm/2023/01/PrecBolsNaci_Sistema.ndjson.gz#PrecBolsNaci:Sistema:2023-01-01:2023-01-31
2023-01-02,PrecEscaAct,1309.80228,COP/kWh,xm:servapibi,2026-09-22T19:19:55Z,xm/2023/01/PrecEscaAct_Sistema.ndjson.gz#PrecEscaAct:Sistema:2023-01-01:2023-01-31
2023-01-02,VoluUtilDiarEner,14342133800,kWh,xm:servapibi,2026-09-22T19:19:47Z,xm/2023/01/VoluUtilDiarEner_Sistema.ndjson.gz#VoluUtilDiarEner:Sistema:2023-01-01:2023-01-31
2023-01-03,AporEner,184021000,kWh,xm:servapibi,2026-09-22T19:19:50Z,xm/2023/01/AporEner_Sistema.ndjson.gz#AporEner:Sistema:2023-01-01:2023-01-31
2023-01-03,AporEnerMediHist,134760000,kWh,xm:servapibi,2026-09-22T19:19:51Z,xm/2023/01/AporEnerMediHist_Sistema.ndjson.gz#AporEnerMediHist:Sistema:2023-01-01:2023-01-31
