date,concepto,dia_kwh,pct_dia,mes_kwh,pct_mes,anio_kwh,pct_anio,ultimos365_kwh,tipo_dia,tipo_dia_anio_anterior,source,fetched_at,raw_ref
2022-01-01,demanda_distribucion,52331465.06,-16.486,52331465.06,0,52331465.06,0,24385256171.897,Festivo,Festivo,smec:ResultadoInforme1,2026-09-22T02:09:53Z,cenace_smec/2022/01/ResultadoInforme1.2022-01-01.ndjson#informe1:2022-01-01
2022-01-01,exportacion_colombia,4923646.892,28.14,4923646.892,0,4923646.892,0,512013011.291,Festivo,Festivo,smec:ResultadoInforme1,2026-09-22T02:09:53Z,cenace_smec/2022/01/ResultadoInforme1.2022-01-01.ndjson#informe1:2022-01-01
2022-01-01,exportacion_peru,0,0,0,0,0,0,24065584.911,Festivo,Festivo,smec:ResultadoInforme1,2026-09-22T02:09:53Z,cenace_smec/2022/01/ResultadoInforme1.2022-01-01.ndjson#informe1:2022-01-01
2022-01-01,generacion_hidraulica,61267674.075,-14.471,61267674.075,0,61267674.075,0,25320119428.697,Festivo,Festivo,smec:ResultadoInforme1,2026-09-22T02:09:53Z,cenace_smec/2022/01/ResultadoInforme1.2022-01-01.ndjson#informe1:2022-01-01
2022-01-01,generacion_motores_bunker,379095.826,-29.803,379095.826,0,379095.826,0,363871196.904,Festivo,Festivo,smec:ResultadoInforme1,2026-09-22T02:09:53Z,cenace_smec/2022/01/ResultadoInforme1.2022-01-01.ndjson#informe1:2022-01-01
2022-01-01,generacion_otros_tipos,423897.453,-24.779,423897.453,0,423897.453,0,344896067.495,Festivo,Festivo,smec:ResultadoInforme1,2026-09-22T02:09:53Z,cenace_smec/2022/01/ResultadoInforme1.2022-01-01.ndjson#informe1:2022-01-01
2022-01-01,generacion_turbinas_diesel,121212.032,-8.05,121212.032,0,121212.032,0,151678757.929,Festivo,Festivo,smec:ResultadoInforme1,2026-09-22T02:09:53Z,cenace_smec/2022/01/ResultadoInforme1.2022-01-01.ndjson#informe1:2022-01-01
2022-01-01,generacion_turbinas_gas,1529191.85,-6.893,1529191.85,0,1529191.85,0,572322594.958,Festivo,Festivo,smec:ResultadoInforme1,2026-09-22T02:09:53Z,cenace_smec/2022/01/ResultadoInforme1.2022-01-01.ndjson#informe1:2022-01-01
2022-01-01,generacion_vapor_bunker,1133064.628,0.062,1133064.628,0,1133064.628,0,795569322.412,Festivo,Festivo,smec:ResultadoInforme1,2026-09-22T02:09:53Z,cenace_smec/2022/01/ResultadoInforme1.2022-01-01.ndjson#informe1:2022-01-01
2022-01-01,importacion_colombia,13766.06,-7.758,13766.06,0,13766.06,0,385330308.581,Festivo,Festivo,smec:ResultadoInforme1,2026-09-22T02:09:53Z,cenace_smec/2022/01/ResultadoInforme1.2022-01-01.ndjson#informe1:2022-01-01
2022-01-01,importacion_peru,0,0,0,0,0,0,74852.079,Festivo,Festivo,smec:ResultadoInforme1,2026-09-22T02:09:53Z,cenace_smec/2022/01/ResultadoInforme1.2022-01-01.ndjson#informe1:2022-01-01
2022-01-01,total_exportacion,4923646.892,28.14,4923646.892,-95.403,4923646.892,-99.073,536078596.202,Festivo,Festivo,smec:ResultadoInforme1,2026-09-22T02:09:53Z,cenace_smec/2022/01/ResultadoInforme1.2022-01-01.ndjson#informe1:2022-01-01
2022-01-01,total_generacion,64854135.864,-14.264,64854135.864,-97.4,64854135.864,-99.765,27548457368.395,Festivo,Festivo,smec:ResultadoInforme1,2026-09-22T02:09:53Z,cenace_smec/2022/01/ResultadoInforme1.2022-01-01.ndjson#informe1:2022-01-01
2022-01-01,total_importacion,13766.06,-7.758,13766.06,-99.247,13766.06,-99.996,385405160.66,Festivo,Festivo,smec:ResultadoInforme1,2026-09-22T02:09:53Z,cenace_smec/2022/01/ResultadoInforme1.2022-01-01.ndjson#informe1:2022-01-01
2022-01-01,total_perdidas_transporte,6809796.693,-15.417,6809796.693,-96.205,6809796.693,-99.704,2303760496.557,Festivo,Festivo,smec:ResultadoInforme1,2026-09-22T02:09:53Z,cenace_smec/2022/01/ResultadoInforme1.2022-01-01.ndjson#informe1:2022-01-01
2022-01-02,demanda_distribucion,55802032.945,6.632,108133498.005,106.632,108133498.005,106.632,24384804874.31,Festivo,Festivo,smec:ResultadoInforme1,2026-09-22T02:09:54Z,cenace_smec/2022/01/ResultadoInforme1.2022-01-02.ndjson#informe1:2022-01-02
2022-01-02,exportacion_colombia,4710521.577,-4.329,9634168.469,95.671,9634168.469,95.671,516640277.275,Festivo,Festivo,smec:ResultadoInforme1,2026-09-22T02:09:54Z,cenace_smec/2022/01/ResultadoInforme1.2022-01-02.ndjson#informe1:2022-01-02
2022-01-02,exportacion_peru,0,0,0,0,0,0,24065584.911,Festivo,Festivo,smec:ResultadoInforme1,2026-09-22T02:09:54Z,cenace_smec/2022/01/ResultadoInforme1.2022-01-02.ndjson#informe1:2022-01-02
2022-01-02,generacion_hidraulica,65017675.074,6.121,126285349.149,106.121,126285349.149,106.121,25326092036.101,Festivo,Festivo,smec:ResultadoInforme1,2026-09-22T02:09:54Z,cenace_smec/2022/01/ResultadoInforme1.2022-01-02.ndjson#informe1:2022-01-02
2022-01-02,generacion_motores_bunker,433225.555,14.279,812321.381,114.279,812321.381,114.279,363958572.119,Festivo,Festivo,smec:ResultadoInforme1,2026-09-22T02:09:54Z,cenace_smec/2022/01/ResultadoInforme1.2022-01-02.ndjson#informe1:2022-01-02
2022-01-02,generacion_otros_tipos,366156.472,-13.621,790053.925,86.379,790053.925,86.379,344791055.365,Festivo,Festivo,smec:ResultadoInforme1,2026-09-22T02:09:54Z,cenace_smec/2022/01/ResultadoInforme1.2022-01-02.ndjson#informe1:2022-01-02
2022-01-02,generacion_turbinas_diesel,127565.737,5.242,248777.769,105.242,248777.769,105.242,151638305.44,Festivo,Festivo,smec:ResultadoInforme1,2026-09-22T02:09:54Z,cenace_smec/2022/01/ResultadoInforme1.2022-01-02.ndjson#informe1:2022-01-02
2022-01-02,generacion_turbinas_gas,1488362.848,-2.67,3017554.698,97.33,3017554.698,97.33,571617706.064,Festivo,Festivo,smec:ResultadoInforme1,2026-09-22T02:09:54Z,cenace_smec/2022/01/ResultadoInforme1.2022-01-02.ndjson#informe1:2022-01-02
2022-01-02,generacion_vapor_bunker,1132811.946,-0.022,2265876.574,99.978,2265876.574,99.978,795243164.803,Festivo,Festivo,smec:ResultadoInforme1,2026-09-22T02:09:54Z,cenace_smec/2022/01/ResultadoInforme1.2022-01-02.ndjson#informe1:2022-01-02
2022-01-02,importacion_colombia,24567.872,78.467,38333.932,178.467,38333.932,178.467,385305635.472,Festivo,Festivo,smec:ResultadoInforme1,2026-09-22T02:09:54Z,cenace_smec/2022/01/ResultadoInforme1.2022-01-02.ndjson#informe1:2022-01-02
2022-01-02,importacion_peru,0,0,0,0,0,0,74852.079,Festivo,Festivo,smec:ResultadoInforme1,2026-09-22T02:09:54Z,cenace_smec/2022/01/ResultadoInforme1.2022-01-02.ndjson#informe1:2022-01-02
2022-01-02,total_exportacion,4710521.577,-4.329,9634168.469,95.671,9634168.469,95.671,540705862.186,Festivo,Festivo,smec:ResultadoInforme1,2026-09-22T02:09:54Z,cenace_smec/2022/01/ResultadoInforme1.2022-01-02.ndjson#informe1:2022-01-02
2022-01-02,total_generacion,68565797.632,5.723,133419933.496,105.723,133419933.496,105.723,27553340839.892,Festivo,Festivo,smec:ResultadoInforme1,2026-09-22T02:09:54Z,cenace_smec/2022/01/ResultadoInforme1.2022-01-02.ndjson#informe1:2022-01-02
2022-01-02,total_importacion,24567.872,78.467,38333.932,178.467,38333.932,178.467,385380487.551,Festivo,Festivo,smec:ResultadoInforme1,2026-09-22T02:09:54Z,cenace_smec/2022/01/ResultadoInforme1.2022-01-02.ndjson#informe1:2022-01-02
2022-01-02,total_perdidas_transporte,7278428.955,6.882,14088225.648,106.882,14088225.648,106.882,2304460963.463,Festivo,Festivo,smec:ResultadoInforme1,2026-09-22T02:09:54Z,cenace_smec/2022/01/ResultadoInforme1.2022-01-02.ndjson#informe1:2022-01-02
2022-01-03,demanda_distribucion,68504167.246,22.763,176637665.251,63.351,176637665.251,63.351,24395735194.308,Laboral,Festivo,smec:ResultadoInforme1,2026-09-22T02:09:55Z,cenace_smec/2022/01/ResultadoInforme1.2022-01-03.ndjson#informe1:2022-01-03
2022-01-03,exportacion_colombia,612626.214,-86.995,10246794.683,6.359,10246794.683,6.359,517153430.433,Laboral,Festivo,smec:ResultadoInforme1,2026-09-22T02:09:55Z,cenace_smec/2022/01/ResultadoInforme1.2022-01-03.ndjson#informe1:2022-01-03
2022-01-03,exportacion_peru,0,0,0,0,0,0,24065584.911,Laboral,Festivo,smec:ResultadoInforme1,2026-09-22T02:09:55Z,cenace_smec/2022/01/ResultadoInforme1.2022-01-03.ndjson#informe1:2022-01-03
2022-01-03,generacion_hidraulica,71337121.965,9.72,197622471.114,56.489,197622471.114,56.489,25338288691.231,Laboral,Festivo,smec:ResultadoInforme1,2026-09-22T02:09:55Z,cenace_smec/2022/01/ResultadoInforme1.2022-01-03.ndjson#informe1:2022-01-03
