date,concepto,dia_kwh,pct_dia,mes_kwh,pct_mes,anio_kwh,pct_anio,ultimos365_kwh,tipo_dia,tipo_dia_anio_anterior,source,fetched_at,raw_ref
2018-01-02,generacion_otros_tipos,249353.275,6.421,483660.969,106.421,483660.969,106.421,125037397.957,Laboral,Festivo,smec:ResultadoInforme1,2026-09-22T01:41:11Z,cenace_smec/2018/01/ResultadoInforme1.ndjson.gz#informe1:2018-01-02
2018-01-02,generacion_turbinas_diesel,206336.255,28.902,366408.676,128.902,366408.676,128.902,110509354.291,Laboral,Festivo,smec:ResultadoInforme1,2026-09-22T01:41:11Z,cenace_smec/2018/01/ResultadoInforme1.ndjson.gz#informe1:2018-01-02
2018-01-02,generacion_turbinas_gas,3058763.679,-9.217,6428061.811,90.783,6428061.811,90.783,1207559369.814,Laboral,Festivo,smec:ResultadoInforme1,2026-09-22T01:41:11Z,cenace_smec/2018/01/ResultadoInforme1.ndjson.gz#informe1:2018-01-02
2018-01-02,generacion_turbinas_nafta,0,0,0,0,0,0,0,Laboral,Festivo,smec:ResultadoInforme1,2026-09-22T01:41:11Z,cenace_smec/2018/01/ResultadoInforme1.ndjson.gz#informe1:2018-01-02
2018-01-02,generacion_vapor_bunker,7329116.953,9.481,14023559.182,109.481,14023559.182,109.481,1615165027,Laboral,Festivo,smec:ResultadoInforme1,2026-09-22T01:41:11Z,cenace_smec/2018/01/ResultadoInforme1.ndjson.gz#informe1:2018-01-02
2018-01-02,importacion_colombia,39456.306,193.361,52906.03,293.361,52906.03,293.361,39800244.448,Laboral,Festivo,smec:ResultadoInforme1,2026-09-22T01:41:11Z,cenace_smec/2018/01/ResultadoInforme1.ndjson.gz#informe1:2018-01-02
2018-01-02,importacion_peru,0,0,0,0,0,0,0,Laboral,Festivo,smec:ResultadoInforme1,2026-09-22T01:41:11Z,cenace_smec/2018/01/ResultadoInforme1.ndjson.gz#informe1:2018-01-02
2018-01-02,total_exportacion,1559070.672,-48.423,4581880.51,51.577,4581880.51,51.577,235934903.473,Laboral,Festivo,smec:ResultadoInforme1,2026-09-22T01:41:11Z,cenace_smec/2018/01/ResultadoInforme1.ndjson.gz#informe1:2018-01-02
2018-01-02,total_generacion,68294274.214,18.965,125701385.986,118.965,125701385.986,118.965,24239959848.068,Laboral,Festivo,smec:ResultadoInforme1,2026-09-22T01:41:11Z,cenace_smec/2018/01/ResultadoInforme1.ndjson.gz#informe1:2018-01-02
2018-01-02,total_importacion,39456.306,193.361,52906.03,293.361,52906.03,293.361,39800244.448,Laboral,Festivo,smec:ResultadoInforme1,2026-09-22T01:41:11Z,cenace_smec/2018/01/ResultadoInforme1.ndjson.gz#informe1:2018-01-02
2018-01-02,total_perdidas_transporte,7927697.567,6.841,15347821.256,106.841,15347821.256,106.841,1447383295.992,Laboral,Festivo,smec:ResultadoInforme1,2026-09-22T01:41:11Z,cenace_smec/2018/01/ResultadoInforme1.ndjson.gz#informe1:2018-01-02
2018-01-03,demanda_distribucion,62116132.113,9.39,164352288.209,60.757,164352288.209,60.757,21415643817.737,Laboral,Laboral,smec:ResultadoInforme1,2026-09-22T01:41:12Z,cenace_smec/2018/01/ResultadoInforme1.ndjson.gz#informe1:2018-01-03
2018-01-03,exportacion_colombia,4608942.722,195.621,9190823.232,100.591,9190823.232,100.591,224604029.961,Laboral,Laboral,smec:ResultadoInforme1,2026-09-22T01:41:12Z,cenace_smec/2018/01/ResultadoInforme1.ndjson.gz#informe1:2018-01-03
2018-01-03,exportacion_peru,0,0,0,0,0,0,15835543.635,Laboral,Laboral,smec:ResultadoInforme1,2026-09-22T01:41:12Z,cenace_smec/2018/01/ResultadoInforme1.ndjson.gz#informe1:2018-01-03
2018-01-03,generacion_hidraulica,64851458.135,16.561,166146380.298,64.022,166146380.298,64.022,20143526291.52,Laboral,Laboral,smec:ResultadoInforme1,2026-09-22T01:41:12Z,cenace_smec/2018/01/ResultadoInforme1.ndjson.gz#informe1:2018-01-03
2018-01-03,generacion_motores_bunker,1879627.958,3.651,4984401.143,60.54,4984401.143,60.54,1053504286.338,Laboral,Laboral,smec:ResultadoInforme1,2026-09-22T01:41:12Z,cenace_smec/2018/01/ResultadoInforme1.ndjson.gz#informe1:2018-01-03
2018-01-03,generacion_otros_tipos,275929.071,10.658,759590.04,57.05,759590.04,57.05,124881257.549,Laboral,Laboral,smec:ResultadoInforme1,2026-09-22T01:41:12Z,cenace_smec/2018/01/ResultadoInforme1.ndjson.gz#informe1:2018-01-03
2018-01-03,generacion_turbinas_diesel,202356.681,-1.929,568765.357,55.227,568765.357,55.227,107528941.699,Laboral,Laboral,smec:ResultadoInforme1,2026-09-22T01:41:12Z,cenace_smec/2018/01/ResultadoInforme1.ndjson.gz#informe1:2018-01-03
2018-01-03,generacion_turbinas_gas,2829900.052,-7.482,9257961.863,44.024,9257961.863,44.024,1206643655.55,Laboral,Laboral,smec:ResultadoInforme1,2026-09-22T01:41:12Z,cenace_smec/2018/01/ResultadoInforme1.ndjson.gz#informe1:2018-01-03
2018-01-03,generacion_turbinas_nafta,0,0,0,0,0,0,0,Laboral,Laboral,smec:ResultadoInforme1,2026-09-22T01:41:12Z,cenace_smec/2018/01/ResultadoInforme1.ndjson.gz#informe1:2018-01-03
2018-01-03,generacion_vapor_bunker,7451887.913,1.675,21475447.095,53.138,21475447.095,53.138,1613455846.427,Laboral,Laboral,smec:ResultadoInforme1,2026-09-22T01:41:12Z,cenace_smec/2018/01/ResultadoInforme1.ndjson.gz#informe1:2018-01-03
2018-01-03,importacion_colombia,4490.331,-88.619,57396.361,8.487,57396.361,8.487,39733885.646,Laboral,Laboral,smec:ResultadoInforme1,2026-09-22T01:41:12Z,cenace_smec/2018/01/ResultadoInforme1.ndjson.gz#informe1:2018-01-03
2018-01-03,importacion_peru,0,0,0,0,0,0,0,Laboral,Laboral,smec:ResultadoInforme1,2026-09-22T01:41:12Z,cenace_smec/2018/01/ResultadoInforme1.ndjson.gz#informe1:2018-01-03
2018-01-03,total_exportacion,4608942.722,195.621,9190823.232,100.591,9190823.232,100.591,240439573.596,Laboral,Laboral,smec:ResultadoInforme1,2026-09-22T01:41:12Z,cenace_smec/2018/01/ResultadoInforme1.ndjson.gz#informe1:2018-01-03
2018-01-03,total_generacion,77491159.81,13.467,203192545.796,61.647,203192545.796,61.647,24249540279.083,Laboral,Laboral,smec:ResultadoInforme1,2026-09-22T01:41:12Z,cenace_smec/2018/01/ResultadoInforme1.ndjson.gz#informe1:2018-01-03
2018-01-03,total_importacion,4490.331,-88.619,57396.361,8.487,57396.361,8.487,39733885.646,Laboral,Laboral,smec:ResultadoInforme1,2026-09-22T01:41:12Z,cenace_smec/2018/01/ResultadoInforme1.ndjson.gz#informe1:2018-01-03
