issued,site,river_id,member,lead_days,q_m3s,store_key,etag,fetched_at
2026-01-02,agoyan,621014469,high_res,10,246.148,s3://geoglows-v2-forecasts/2026010200.zarr,0bb283b83dc0039ffb25241cbcd8535a,2026-09-25T06:35:01Z
2026-01-02,agoyan,621014469,high_res,2,118.194,s3://geoglows-v2-forecasts/2026010200.zarr,0bb283b83dc0039ffb25241cbcd8535a,2026-09-25T06:35:01Z
2026-01-02,agoyan,621014469,high_res,3,143.08,s3://geoglows-v2-forecasts/2026010200.zarr,0bb283b83dc0039ffb25241cbcd8535a,2026-09-25T06:35:01Z
2026-01-02,agoyan,621014469,high_res,4,172.338,s3://geoglows-v2-forecasts/2026010200.zarr,0bb283b83dc0039ffb25241cbcd8535a,2026-09-25T06:35:01Z
2026-01-02,agoyan,621014469,high_res,5,173.004,s3://geoglows-v2-forecasts/2026010200.zarr,0bb283b83dc0039ffb25241cbcd8535a,2026-09-25T06:35:01Z
2026-01-02,agoyan,621014469,high_res,6,169.768,s3://geoglows-v2-forecasts/2026010200.zarr,0bb283b83dc0039ffb25241cbcd8535a,2026-09-25T06:35:01Z
2026-01-02,agoyan,621014469,high_res,7,196.283,s3://geoglows-v2-forecasts/2026010200.zarr,0bb283b83dc0039ffb25241cbcd8535a,2026-09-25T06:35:01Z
2026-01-02,agoyan,621014469,high_res,8,251.611,s3://geoglows-v2-forecasts/2026010200.zarr,0bb283b83dc0039ffb25241cbcd8535a,2026-09-25T06:35:01Z
2026-01-02,agoyan,621014469,high_res,9,243.888,s3://geoglows-v2-forecasts/2026010200.zarr,0bb283b83dc0039ffb25241cbcd8535a,2026-09-25T06:35:01Z
2026-01-02,manduriacu,670078161,high_res,1,200.182,s3://geoglows-v2-forecasts/2026010200.zarr,0bb283b83dc0039ffb25241cbcd8535a,2026-09-25T06:35:01Z
2026-01-02,manduriacu,670078161,high_res,10,1047.33,s3://geoglows-v2-forecasts/2026010200.zarr,0bb283b83dc0039ffb25241cbcd8535a,2026-09-25T06:35:01Z
2026-01-02,manduriacu,670078161,high_res,2,432.118,s3://geoglows-v2-forecasts/2026010200.zarr,0bb283b83dc0039ffb25241cbcd8535a,2026-09-25T06:35:01Z
2026-01-02,manduriacu,670078161,high_res,3,426.865,s3://geoglows-v2-forecasts/2026010200.zarr,0bb283b83dc0039ffb25241cbcd8535a,2026-09-25T06:35:01Z
2026-01-02,manduriacu,670078161,high_res,4,653.873,s3://geoglows-v2-forecasts/2026010200.zarr,0bb283b83dc0039ffb25241cbcd8535a,2026-09-25T06:35:01Z
2026-01-02,manduriacu,670078161,high_res,5,565.686,s3://geoglows-v2-forecasts/2026010200.zarr,0bb283b83dc0039ffb25241cbcd8535a,2026-09-25T06:35:01Z
2026-01-02,manduriacu,670078161,high_res,6,1106.439,s3://geoglows-v2-forecasts/2026010200.zarr,0bb283b83dc0039ffb25241cbcd8535a,2026-09-25T06:35:01Z
2026-01-02,manduriacu,670078161,high_res,7,1279.679,s3://geoglows-v2-forecasts/2026010200.zarr,0bb283b83dc0039ffb25241cbcd8535a,2026-09-25T06:35:01Z
2026-01-02,manduriacu,670078161,high_res,8,1058.116,s3://geoglows-v2-forecasts/2026010200.zarr,0bb283b83dc0039ffb25241cbcd8535a,2026-09-25T06:35:01Z
2026-01-02,manduriacu,670078161,high_res,9,1382.378,s3://geoglows-v2-forecasts/2026010200.zarr,0bb283b83dc0039ffb25241cbcd8535a,2026-09-25T06:35:01Z
2026-01-02,minas_san_francisco,670027091,high_res,1,30.576,s3://geoglows-v2-forecasts/2026010200.zarr,0bb283b83dc0039ffb25241cbcd8535a,2026-09-25T06:35:01Z
2026-01-02,minas_san_francisco,670027091,high_res,10,294.643,s3://geoglows-v2-forecasts/2026010200.zarr,0bb283b83dc0039ffb25241cbcd8535a,2026-09-25T06:35:01Z
2026-01-02,minas_san_francisco,670027091,high_res,2,97.358,s3://geoglows-v2-forecasts/2026010200.zarr,0bb283b83dc0039ffb25241cbcd8535a,2026-09-25T06:35:01Z
2026-01-02,minas_san_francisco,670027091,high_res,3,82.161,s3://geoglows-v2-forecasts/2026010200.zarr,0bb283b83dc0039ffb25241cbcd8535a,2026-09-25T06:35:01Z
2026-01-02,minas_san_francisco,670027091,high_res,4,96.159,s3://geoglows-v2-forecasts/2026010200.zarr,0bb283b83dc0039ffb25241cbcd8535a,2026-09-25T06:35:01Z
2026-01-02,minas_san_francisco,670027091,high_res,5,134.242,s3://geoglows-v2-forecasts/2026010200.zarr,0bb283b83dc0039ffb25241cbcd8535a,2026-09-25T06:35:01Z
2026-01-02,minas_san_francisco,670027091,high_res,6,120.186,s3://geoglows-v2-forecasts/2026010200.zarr,0bb283b83dc0039ffb25241cbcd8535a,2026-09-25T06:35:01Z
2026-01-02,minas_san_francisco,670027091,high_res,7,167.666,s3://geoglows-v2-forecasts/2026010200.zarr,0bb283b83dc0039ffb25241cbcd8535a,2026-09-25T06:35:01Z
2026-01-02,minas_san_francisco,670027091,high_res,8,162.963,s3://geoglows-v2-forecasts/2026010200.zarr,0bb283b83dc0039ffb25241cbcd8535a,2026-09-25T06:35:01Z
2026-01-02,minas_san_francisco,670027091,high_res,9,204.638,s3://geoglows-v2-forecasts/2026010200.zarr,0bb283b83dc0039ffb25241cbcd8535a,2026-09-25T06:35:01Z
2026-01-03,agoyan,621014469,high_res,1,123.767,s3://geoglows-v2-forecasts/2026010300.zarr,4f808d8943a4cf476d57048ae5756050,2026-09-25T06:35:01Z
2026-01-03,agoyan,621014469,high_res,10,254.434,s3://geoglows-v2-forecasts/2026010300.zarr,4f808d8943a4cf476d57048ae5756050,2026-09-25T06:35:01Z
2026-01-03,agoyan,621014469,high_res,2,122.027,s3://geoglows-v2-forecasts/2026010300.zarr,4f808d8943a4cf476d57048ae5756050,2026-09-25T06:35:01Z
2026-01-03,agoyan,621014469,high_res,3,147.527,s3://geoglows-v2-forecasts/2026010300.zarr,4f808d8943a4cf476d57048ae5756050,2026-09-25T06:35:01Z
