date,link,export_kwh,import_kwh,export_hours,import_hours,source,fetched_at,raw_ref
2026-01-01,ECUADOR 230,3336528.58,1050.77,22,2,xm:servapibi,2026-09-22T19:28:42Z,xm/2026/01/ExpoEner_Enlace.2026-01-01.ndjson#ExpoEner:Enlace:2026-01-01:2026-01-31 xm/2026/01/ImpoEner_Enlace.2026-01-01.ndjson#ImpoEner:Enlace:2026-01-01:2026-01-31
2026-01-02,ECUADOR 230,4585701.880000001,862.53,23,1,xm:servapibi,2026-09-22T19:28:42Z,xm/2026/01/ExpoEner_Enlace.2026-01-01.ndjson#ExpoEner:Enlace:2026-01-01:2026-01-31 xm/2026/01/ImpoEner_Enlace.2026-01-01.ndjson#ImpoEner:Enlace:2026-01-01:2026-01-31
2026-01-03,ECUADOR 230,7488320.810000002,0,24,0,xm:servapibi,2026-09-22T19:28:42Z,xm/2026/01/ExpoEner_Enlace.2026-01-01.ndjson#ExpoEner:Enlace:2026-01-01:2026-01-31 xm/2026/01/ImpoEner_Enlace.2026-01-01.ndjson#ImpoEner:Enlace:2026-01-01:2026-01-31
2026-01-04,ECUADOR 230,7221287.02,0,24,0,xm:servapibi,2026-09-22T19:28:42Z,xm/2026/01/ExpoEner_Enlace.2026-01-01.ndjson#ExpoEner:Enlace:2026-01-01:2026-01-31 xm/2026/01/ImpoEner_Enlace.2026-01-01.ndjson#ImpoEner:Enlace:2026-01-01:2026-01-31
2026-01-05,ECUADOR 230,6762094.47,0,24,0,xm:servapibi,2026-09-22T19:28:42Z,xm/2026/01/ExpoEner_Enlace.2026-01-01.ndjson#ExpoEner:Enlace:2026-01-01:2026-01-31 xm/2026/01/ImpoEner_Enlace.2026-01-01.ndjson#ImpoEner:Enlace:2026-01-01:2026-01-31
2026-01-06,ECUADOR 230,7207660.999999999,0,24,0,xm:servapibi,2026-09-22T19:28:42Z,xm/2026/01/ExpoEner_Enlace.2026-01-01.ndjson#ExpoEner:Enlace:2026-01-01:2026-01-31 xm/2026/01/ImpoEner_Enlace.2026-01-01.ndjson#ImpoEner:Enlace:2026-01-01:2026-01-31
2026-01-07,ECUADOR 230,7214982.050000001,0,24,0,xm:servapibi,2026-09-22T19:28:42Z,xm/2026/01/ExpoEner_Enlace.2026-01-01.ndjson#ExpoEner:Enlace:2026-01-01:2026-01-31 xm/2026/01/ImpoEner_Enlace.2026-01-01.ndjson#ImpoEner:Enlace:2026-01-01:2026-01-31
2026-01-08,ECUADOR 230,7069529.86,0,24,0,xm:servapibi,2026-09-22T19:28:42Z,xm/2026/01/ExpoEner_Enlace.2026-01-01.ndjson#ExpoEner:Enlace:2026-01-01:2026-01-31 xm/2026/01/ImpoEner_Enlace.2026-01-01.ndjson#ImpoEner:Enlace:2026-01-01:2026-01-31
2026-01-09,ECUADOR 230,7177582.099999999,0,24,0,xm:servapibi,2026-09-22T19:28:42Z,xm/2026/01/ExpoEner_Enlace.2026-01-01.ndjson#ExpoEner:Enlace:2026-01-01:2026-01-31 xm/2026/01/ImpoEner_Enlace.2026-01-01.ndjson#ImpoEner:Enlace:2026-01-01:2026-01-31
2026-01-10,ECUADOR 230,5157985.920000001,419.09,23,1,xm:servapibi,2026-09-22T19:28:42Z,xm/2026/01/ExpoEner_Enlace.2026-01-01.ndjson#ExpoEner:Enlace:2026-01-01:2026-01-31 xm/2026/01/ImpoEner_Enlace.2026-01-01.ndjson#ImpoEner:Enlace:2026-01-01:2026-01-31
