date,link,export_kwh,import_kwh,export_hours,import_hours,source,fetched_at,raw_ref
2025-01-01,ECUADOR 138,53643.770000000004,0,5,0,xm:servapibi,2026-09-22T19:25:42Z,xm/2025/01/ExpoEner_Enlace.ndjson.gz#ExpoEner:Enlace:2025-01-01:2025-01-31 xm/2025/01/ImpoEner_Enlace.ndjson.gz#ImpoEner:Enlace:2025-01-01:2025-01-31
2025-01-01,ECUADOR 230,2002510.6400000001,3791.4700000000003,21,3,xm:servapibi,2026-09-22T19:25:42Z,xm/2025/01/ExpoEner_Enlace.ndjson.gz#ExpoEner:Enlace:2025-01-01:2025-01-31 xm/2025/01/ImpoEner_Enlace.ndjson.gz#ImpoEner:Enlace:2025-01-01:2025-01-31
2025-01-02,ECUADOR 138,228145.64,0,22,0,xm:servapibi,2026-09-22T19:25:42Z,xm/2025/01/ExpoEner_Enlace.ndjson.gz#ExpoEner:Enlace:2025-01-01:2025-01-31 xm/2025/01/ImpoEner_Enlace.ndjson.gz#ImpoEner:Enlace:2025-01-01:2025-01-31
2025-01-02,ECUADOR 230,5013979.100000001,0,24,0,xm:servapibi,2026-09-22T19:25:42Z,xm/2025/01/ExpoEner_Enlace.ndjson.gz#ExpoEner:Enlace:2025-01-01:2025-01-31 xm/2025/01/ImpoEner_Enlace.ndjson.gz#ImpoEner:Enlace:2025-01-01:2025-01-31
2025-01-03,ECUADOR 138,219078.55,0,22,0,xm:servapibi,2026-09-22T19:25:42Z,xm/2025/01/ExpoEner_Enlace.ndjson.gz#ExpoEner:Enlace:2025-01-01:2025-01-31 xm/2025/01/ImpoEner_Enlace.ndjson.gz#ImpoEner:Enlace:2025-01-01:2025-01-31
2025-01-03,ECUADOR 230,5359789.569999999,0,24,0,xm:servapibi,2026-09-22T19:25:42Z,xm/2025/01/ExpoEner_Enlace.ndjson.gz#ExpoEner:Enlace:2025-01-01:2025-01-31 xm/2025/01/ImpoEner_Enlace.ndjson.gz#ImpoEner:Enlace:2025-01-01:2025-01-31
2025-01-04,ECUADOR 138,131177.02999999997,0,13,0,xm:servapibi,2026-09-22T19:25:42Z,xm/2025/01/ExpoEner_Enlace.ndjson.gz#ExpoEner:Enlace:2025-01-01:2025-01-31 xm/2025/01/ImpoEner_Enlace.ndjson.gz#ImpoEner:Enlace:2025-01-01:2025-01-31
2025-01-04,ECUADOR 230,4447396.24,0,24,0,xm:servapibi,2026-09-22T19:25:42Z,xm/2025/01/ExpoEner_Enlace.ndjson.gz#ExpoEner:Enlace:2025-01-01:2025-01-31 xm/2025/01/ImpoEner_Enlace.ndjson.gz#ImpoEner:Enlace:2025-01-01:2025-01-31
2025-01-05,ECUADOR 138,211077.74000000005,0,22,0,xm:servapibi,2026-09-22T19:25:42Z,xm/2025/01/ExpoEner_Enlace.ndjson.gz#ExpoEner:Enlace:2025-01-01:2025-01-31 xm/2025/01/ImpoEner_Enlace.ndjson.gz#ImpoEner:Enlace:2025-01-01:2025-01-31
2025-01-05,ECUADOR 230,8690081.88,0,24,0,xm:servapibi,2026-09-22T19:25:42Z,xm/2025/01/ExpoEner_Enlace.ndjson.gz#ExpoEner:Enlace:2025-01-01:2025-01-31 xm/2025/01/ImpoEner_Enlace.ndjson.gz#ImpoEner:Enlace:2025-01-01:2025-01-31
2025-01-06,ECUADOR 138,155568.15999999997,0,16,0,xm:servapibi,2026-09-22T19:25:42Z,xm/2025/01/ExpoEner_Enlace.ndjson.gz#ExpoEner:Enlace:2025-01-01:2025-01-31 xm/2025/01/ImpoEner_Enlace.ndjson.gz#ImpoEner:Enlace:2025-01-01:2025-01-31
2025-01-06,ECUADOR 230,7171533.9399999995,725.56,22,2,xm:servapibi,2026-09-22T19:25:42Z,xm/2025/01/ExpoEner_Enlace.ndjson.gz#ExpoEner:Enlace:2025-01-01:2025-01-31 xm/2025/01/ImpoEner_Enlace.ndjson.gz#ImpoEner:Enlace:2025-01-01:2025-01-31
2025-01-07,ECUADOR 138,168267.09999999998,0,16,0,xm:servapibi,2026-09-22T19:25:42Z,xm/2025/01/ExpoEner_Enlace.ndjson.gz#ExpoEner:Enlace:2025-01-01:2025-01-31 xm/2025/01/ImpoEner_Enlace.ndjson.gz#ImpoEner:Enlace:2025-01-01:2025-01-31
2025-01-07,ECUADOR 230,6407116.400000001,1502.86,21,3,xm:servapibi,2026-09-22T19:25:42Z,xm/2025/01/ExpoEner_Enlace.ndjson.gz#ExpoEner:Enlace:2025-01-01:2025-01-31 xm/2025/01/ImpoEner_Enlace.ndjson.gz#ImpoEner:Enlace:2025-01-01:2025-01-31
2025-01-08,ECUADOR 138,226140.76,0,22,0,xm:servapibi,2026-09-22T19:25:42Z,xm/2025/01/ExpoEner_Enlace.ndjson.gz#ExpoEner:Enlace:2025-01-01:2025-01-31 xm/2025/01/ImpoEner_Enlace.ndjson.gz#ImpoEner:Enlace:2025-01-01:2025-01-31
2025-01-08,ECUADOR 230,9737536.609999998,0,24,0,xm:servapibi,2026-09-22T19:25:42Z,xm/2025/01/ExpoEner_Enlace.ndjson.gz#ExpoEner:Enlace:2025-01-01:2025-01-31 xm/2025/01/ImpoEner_Enlace.ndjson.gz#ImpoEner:Enlace:2025-01-01:2025-01-31
2025-01-09,ECUADOR 138,109939.94999999998,0,11,0,xm:servapibi,2026-09-22T19:25:42Z,xm/2025/01/ExpoEner_Enlace.ndjson.gz#ExpoEner:Enlace:2025-01-01:2025-01-31 xm/2025/01/ImpoEner_Enlace.ndjson.gz#ImpoEner:Enlace:2025-01-01:2025-01-31
2025-01-09,ECUADOR 230,7446507.64,0,24,0,xm:servapibi,2026-09-22T19:25:42Z,xm/2025/01/ExpoEner_Enlace.ndjson.gz#ExpoEner:Enlace:2025-01-01:2025-01-31 xm/2025/01/ImpoEner_Enlace.ndjson.gz#ImpoEner:Enlace:2025-01-01:2025-01-31
2025-01-10,ECUADOR 138,127516.25,0,13,0,xm:servapibi,2026-09-22T19:25:42Z,xm/2025/01/ExpoEner_Enlace.ndjson.gz#ExpoEner:Enlace:2025-01-01:2025-01-31 xm/2025/01/ImpoEner_Enlace.ndjson.gz#ImpoEner:Enlace:2025-01-01:2025-01-31
2025-01-10,ECUADOR 230,7732100.94,0,24,0,xm:servapibi,2026-09-22T19:25:42Z,xm/2025/01/ExpoEner_Enlace.ndjson.gz#ExpoEner:Enlace:2025-01-01:2025-01-31 xm/2025/01/ImpoEner_Enlace.ndjson.gz#ImpoEner:Enlace:2025-01-01:2025-01-31
2025-01-11,ECUADOR 138,133095.84,0,14,0,xm:servapibi,2026-09-22T19:25:42Z,xm/2025/01/ExpoEner_Enlace.ndjson.gz#ExpoEner:Enlace:2025-01-01:2025-01-31 xm/2025/01/ImpoEner_Enlace.ndjson.gz#ImpoEner:Enlace:2025-01-01:2025-01-31
2025-01-11,ECUADOR 230,7001192.539999999,0,24,0,xm:servapibi,2026-09-22T19:25:42Z,xm/2025/01/ExpoEner_Enlace.ndjson.gz#ExpoEner:Enlace:2025-01-01:2025-01-31 xm/2025/01/ImpoEner_Enlace.ndjson.gz#ImpoEner:Enlace:2025-01-01:2025-01-31
2025-01-12,ECUADOR 138,200834.13,0,22,0,xm:servapibi,2026-09-22T19:25:42Z,xm/2025/01/ExpoEner_Enlace.ndjson.gz#ExpoEner:Enlace:2025-01-01:2025-01-31 xm/2025/01/ImpoEner_Enlace.ndjson.gz#ImpoEner:Enlace:2025-01-01:2025-01-31
2025-01-12,ECUADOR 230,6046981.96,0,24,0,xm:servapibi,2026-09-22T19:25:42Z,xm/2025/01/ExpoEner_Enlace.ndjson.gz#ExpoEner:Enlace:2025-01-01:2025-01-31 xm/2025/01/ImpoEner_Enlace.ndjson.gz#ImpoEner:Enlace:2025-01-01:2025-01-31
