date,link,export_kwh,import_kwh,export_hours,import_hours,source,fetched_at,raw_ref
2017-06-01,ECUADOR 230,4066.0299999999997,64550.92999999999,2,22,xm:servapibi,2026-09-22T19:02:59Z,xm/2017/06/ExpoEner_Enlace.ndjson.gz#ExpoEner:Enlace:2017-06-01:2017-06-30 xm/2017/06/ImpoEner_Enlace.ndjson.gz#ImpoEner:Enlace:2017-06-01:2017-06-30
2017-06-02,ECUADOR 230,1749.79,58150.049999999996,2,22,xm:servapibi,2026-09-22T19:02:59Z,xm/2017/06/ExpoEner_Enlace.ndjson.gz#ExpoEner:Enlace:2017-06-01:2017-06-30 xm/2017/06/ImpoEner_Enlace.ndjson.gz#ImpoEner:Enlace:2017-06-01:2017-06-30
2017-06-03,ECUADOR 230,0,67754.86000000002,0,24,xm:servapibi,2026-09-22T19:02:59Z,xm/2017/06/ExpoEner_Enlace.ndjson.gz#ExpoEner:Enlace:2017-06-01:2017-06-30 xm/2017/06/ImpoEner_Enlace.ndjson.gz#ImpoEner:Enlace:2017-06-01:2017-06-30
2017-06-04,ECUADOR 230,567.92,55270.340000000004,1,23,xm:servapibi,2026-09-22T19:02:59Z,xm/2017/06/ExpoEner_Enlace.ndjson.gz#ExpoEner:Enlace:2017-06-01:2017-06-30 xm/2017/06/ImpoEner_Enlace.ndjson.gz#ImpoEner:Enlace:2017-06-01:2017-06-30
2017-06-05,ECUADOR 230,49798.549999999996,55503.84,4,20,xm:servapibi,2026-09-22T19:02:59Z,xm/2017/06/ExpoEner_Enlace.ndjson.gz#ExpoEner:Enlace:2017-06-01:2017-06-30 xm/2017/06/ImpoEner_Enlace.ndjson.gz#ImpoEner:Enlace:2017-06-01:2017-06-30
2017-06-06,ECUADOR 230,20411.35,50551.240000000005,4,20,xm:servapibi,2026-09-22T19:02:59Z,xm/2017/06/ExpoEner_Enlace.ndjson.gz#ExpoEner:Enlace:2017-06-01:2017-06-30 xm/2017/06/ImpoEner_Enlace.ndjson.gz#ImpoEner:Enlace:2017-06-01:2017-06-30
2017-06-07,ECUADOR 230,6504.48,62454.38,3,21,xm:servapibi,2026-09-22T19:02:59Z,xm/2017/06/ExpoEner_Enlace.ndjson.gz#ExpoEner:Enlace:2017-06-01:2017-06-30 xm/2017/06/ImpoEner_Enlace.ndjson.gz#ImpoEner:Enlace:2017-06-01:2017-06-30
2017-06-08,ECUADOR 230,18128.19,48017.59,5,19,xm:servapibi,2026-09-22T19:02:59Z,xm/2017/06/ExpoEner_Enlace.ndjson.gz#ExpoEner:Enlace:2017-06-01:2017-06-30 xm/2017/06/ImpoEner_Enlace.ndjson.gz#ImpoEner:Enlace:2017-06-01:2017-06-30
2017-06-09,ECUADOR 230,16161.8,55017.04,5,19,xm:servapibi,2026-09-22T19:02:59Z,xm/2017/06/ExpoEner_Enlace.ndjson.gz#ExpoEner:Enlace:2017-06-01:2017-06-30 xm/2017/06/ImpoEner_Enlace.ndjson.gz#ImpoEner:Enlace:2017-06-01:2017-06-30
2017-06-10,ECUADOR 230,3680.24,48088.47,4,20,xm:servapibi,2026-09-22T19:02:59Z,xm/2017/06/ExpoEner_Enlace.ndjson.gz#ExpoEner:Enlace:2017-06-01:2017-06-30 xm/2017/06/ImpoEner_Enlace.ndjson.gz#ImpoEner:Enlace:2017-06-01:2017-06-30
