date,basin,latitude,longitude,kind,precip_mm,temp_mean_c,issued_at,source,fetched_at,raw_ref
1993-01-01,paute,-2.6,-78.6,era5,3.6,10.9,,open_meteo:era5,2026-09-22T08:49:15Z,open_meteo/1993/01/era5.1993-01-01.ndjson#era5:paute:-2.6:-78.6:1993-01-01:1993-12-31
1993-01-02,paute,-2.6,-78.6,era5,12.1,10.7,,open_meteo:era5,2026-09-22T08:49:15Z,open_meteo/1993/01/era5.1993-01-01.ndjson#era5:paute:-2.6:-78.6:1993-01-01:1993-12-31
1993-01-03,paute,-2.6,-78.6,era5,6.3,11.8,,open_meteo:era5,2026-09-22T08:49:15Z,open_meteo/1993/01/era5.1993-01-01.ndjson#era5:paute:-2.6:-78.6:1993-01-01:1993-12-31
1993-01-04,paute,-2.6,-78.6,era5,6.1,12,,open_meteo:era5,2026-09-22T08:49:15Z,open_meteo/1993/01/era5.1993-01-01.ndjson#era5:paute:-2.6:-78.6:1993-01-01:1993-12-31
1993-01-05,paute,-2.6,-78.6,era5,12.6,12.3,,open_meteo:era5,2026-09-22T08:49:15Z,open_meteo/1993/01/era5.1993-01-01.ndjson#era5:paute:-2.6:-78.6:1993-01-01:1993-12-31
1993-01-06,paute,-2.6,-78.6,era5,22.3,12.3,,open_meteo:era5,2026-09-22T08:49:15Z,open_meteo/1993/01/era5.1993-01-01.ndjson#era5:paute:-2.6:-78.6:1993-01-01:1993-12-31
1993-01-07,paute,-2.6,-78.6,era5,22.6,12,,open_meteo:era5,2026-09-22T08:49:15Z,open_meteo/1993/01/era5.1993-01-01.ndjson#era5:paute:-2.6:-78.6:1993-01-01:1993-12-31
1993-01-08,paute,-2.6,-78.6,era5,4.1,11.8,,open_meteo:era5,2026-09-22T08:49:15Z,open_meteo/1993/01/era5.1993-01-01.ndjson#era5:paute:-2.6:-78.6:1993-01-01:1993-12-31
1993-01-09,paute,-2.6,-78.6,era5,6.7,10.8,,open_meteo:era5,2026-09-22T08:49:15Z,open_meteo/1993/01/era5.1993-01-01.ndjson#era5:paute:-2.6:-78.6:1993-01-01:1993-12-31
1993-01-10,paute,-2.6,-78.6,era5,9.2,10.4,,open_meteo:era5,2026-09-22T08:49:15Z,open_meteo/1993/01/era5.1993-01-01.ndjson#era5:paute:-2.6:-78.6:1993-01-01:1993-12-31
1993-01-11,paute,-2.6,-78.6,era5,3.7,11.8,,open_meteo:era5,2026-09-22T08:49:15Z,open_meteo/1993/01/era5.1993-01-01.ndjson#era5:paute:-2.6:-78.6:1993-01-01:1993-12-31
1993-01-12,paute,-2.6,-78.6,era5,2.3,12,,open_meteo:era5,2026-09-22T08:49:15Z,open_meteo/1993/01/era5.1993-01-01.ndjson#era5:paute:-2.6:-78.6:1993-01-01:1993-12-31
1993-01-13,paute,-2.6,-78.6,era5,17.5,11.8,,open_meteo:era5,2026-09-22T08:49:15Z,open_meteo/1993/01/era5.1993-01-01.ndjson#era5:paute:-2.6:-78.6:1993-01-01:1993-12-31
1993-01-14,paute,-2.6,-78.6,era5,33.5,11.1,,open_meteo:era5,2026-09-22T08:49:15Z,open_meteo/1993/01/era5.1993-01-01.ndjson#era5:paute:-2.6:-78.6:1993-01-01:1993-12-31
1993-01-15,paute,-2.6,-78.6,era5,12.5,10.2,,open_meteo:era5,2026-09-22T08:49:15Z,open_meteo/1993/01/era5.1993-01-01.ndjson#era5:paute:-2.6:-78.6:1993-01-01:1993-12-31
1993-01-16,paute,-2.6,-78.6,era5,10.9,11.5,,open_meteo:era5,2026-09-22T08:49:15Z,open_meteo/1993/01/era5.1993-01-01.ndjson#era5:paute:-2.6:-78.6:1993-01-01:1993-12-31
1993-01-17,paute,-2.6,-78.6,era5,6.9,11.3,,open_meteo:era5,2026-09-22T08:49:15Z,open_meteo/1993/01/era5.1993-01-01.ndjson#era5:paute:-2.6:-78.6:1993-01-01:1993-12-31
1993-01-18,paute,-2.6,-78.6,era5,3.8,11.5,,open_meteo:era5,2026-09-22T08:49:15Z,open_meteo/1993/01/era5.1993-01-01.ndjson#era5:paute:-2.6:-78.6:1993-01-01:1993-12-31
1993-01-19,paute,-2.6,-78.6,era5,6,11.5,,open_meteo:era5,2026-09-22T08:49:15Z,open_meteo/1993/01/era5.1993-01-01.ndjson#era5:paute:-2.6:-78.6:1993-01-01:1993-12-31
1993-01-20,paute,-2.6,-78.6,era5,15.1,12,,open_meteo:era5,2026-09-22T08:49:15Z,open_meteo/1993/01/era5.1993-01-01.ndjson#era5:paute:-2.6:-78.6:1993-01-01:1993-12-31
1993-01-21,paute,-2.6,-78.6,era5,2.5,11.5,,open_meteo:era5,2026-09-22T08:49:15Z,open_meteo/1993/01/era5.1993-01-01.ndjson#era5:paute:-2.6:-78.6:1993-01-01:1993-12-31
1993-01-22,paute,-2.6,-78.6,era5,2.1,11.4,,open_meteo:era5,2026-09-22T08:49:15Z,open_meteo/1993/01/era5.1993-01-01.ndjson#era5:paute:-2.6:-78.6:1993-01-01:1993-12-31
1993-01-23,paute,-2.6,-78.6,era5,5.4,11.6,,open_meteo:era5,2026-09-22T08:49:15Z,open_meteo/1993/01/era5.1993-01-01.ndjson#era5:paute:-2.6:-78.6:1993-01-01:1993-12-31
1993-01-24,paute,-2.6,-78.6,era5,3.2,11.6,,open_meteo:era5,2026-09-22T08:49:15Z,open_meteo/1993/01/era5.1993-01-01.ndjson#era5:paute:-2.6:-78.6:1993-01-01:1993-12-31
1993-01-25,paute,-2.6,-78.6,era5,2.9,12,,open_meteo:era5,2026-09-22T08:49:15Z,open_meteo/1993/01/era5.1993-01-01.ndjson#era5:paute:-2.6:-78.6:1993-01-01:1993-12-31
1993-01-26,paute,-2.6,-78.6,era5,4.1,11.6,,open_meteo:era5,2026-09-22T08:49:15Z,open_meteo/1993/01/era5.1993-01-01.ndjson#era5:paute:-2.6:-78.6:1993-01-01:1993-12-31
1993-01-27,paute,-2.6,-78.6,era5,1.9,11.6,,open_meteo:era5,2026-09-22T08:49:15Z,open_meteo/1993/01/era5.1993-01-01.ndjson#era5:paute:-2.6:-78.6:1993-01-01:1993-12-31
1993-01-28,paute,-2.6,-78.6,era5,2.7,11.9,,open_meteo:era5,2026-09-22T08:49:15Z,open_meteo/1993/01/era5.1993-01-01.ndjson#era5:paute:-2.6:-78.6:1993-01-01:1993-12-31
1993-01-29,paute,-2.6,-78.6,era5,0,12.3,,open_meteo:era5,2026-09-22T08:49:15Z,open_meteo/1993/01/era5.1993-01-01.ndjson#era5:paute:-2.6:-78.6:1993-01-01:1993-12-31
1993-01-30,paute,-2.6,-78.6,era5,2.2,12.3,,open_meteo:era5,2026-09-22T08:49:15Z,open_meteo/1993/01/era5.1993-01-01.ndjson#era5:paute:-2.6:-78.6:1993-01-01:1993-12-31
1993-01-31,paute,-2.6,-78.6,era5,22.6,12.4,,open_meteo:era5,2026-09-22T08:49:15Z,open_meteo/1993/01/era5.1993-01-01.ndjson#era5:paute:-2.6:-78.6:1993-01-01:1993-12-31
1993-02-01,paute,-2.6,-78.6,era5,33.5,12.3,,open_meteo:era5,2026-09-22T08:49:15Z,open_meteo/1993/01/era5.1993-01-01.ndjson#era5:paute:-2.6:-78.6:1993-01-01:1993-12-31
1993-02-02,paute,-2.6,-78.6,era5,36.1,11.6,,open_meteo:era5,2026-09-22T08:49:15Z,open_meteo/1993/01/era5.1993-01-01.ndjson#era5:paute:-2.6:-78.6:1993-01-01:1993-12-31
1993-02-03,paute,-2.6,-78.6,era5,8.7,12,,open_meteo:era5,2026-09-22T08:49:15Z,open_meteo/1993/01/era5.1993-01-01.ndjson#era5:paute:-2.6:-78.6:1993-01-01:1993-12-31
1993-02-04,paute,-2.6,-78.6,era5,20.9,11.3,,open_meteo:era5,2026-09-22T08:49:15Z,open_meteo/1993/01/era5.1993-01-01.ndjson#era5:paute:-2.6:-78.6:1993-01-01:1993-12-31
1993-02-05,paute,-2.6,-78.6,era5,9.2,11.9,,open_meteo:era5,2026-09-22T08:49:15Z,open_meteo/1993/01/era5.1993-01-01.ndjson#era5:paute:-2.6:-78.6:1993-01-01:1993-12-31
1993-02-06,paute,-2.6,-78.6,era5,7.1,12,,open_meteo:era5,2026-09-22T08:49:15Z,open_meteo/1993/01/era5.1993-01-01.ndjson#era5:paute:-2.6:-78.6:1993-01-01:1993-12-31
1993-02-07,paute,-2.6,-78.6,era5,8.1,12.1,,open_meteo:era5,2026-09-22T08:49:15Z,open_meteo/1993/01/era5.1993-01-01.ndjson#era5:paute:-2.6:-78.6:1993-01-01:1993-12-31
1993-02-08,paute,-2.6,-78.6,era5,3.7,12.1,,open_meteo:era5,2026-09-22T08:49:15Z,open_meteo/1993/01/era5.1993-01-01.ndjson#era5:paute:-2.6:-78.6:1993-01-01:1993-12-31
1993-02-09,paute,-2.6,-78.6,era5,16.1,12.4,,open_meteo:era5,2026-09-22T08:49:15Z,open_meteo/1993/01/era5.1993-01-01.ndjson#era5:paute:-2.6:-78.6:1993-01-01:1993-12-31
1993-02-10,paute,-2.6,-78.6,era5,10.4,11.5,,open_meteo:era5,2026-09-22T08:49:15Z,open_meteo/1993/01/era5.1993-01-01.ndjson#era5:paute:-2.6:-78.6:1993-01-01:1993-12-31
1993-02-11,paute,-2.6,-78.6,era5,13.7,12.2,,open_meteo:era5,2026-09-22T08:49:15Z,open_meteo/1993/01/era5.1993-01-01.ndjson#era5:paute:-2.6:-78.6:1993-01-01:1993-12-31
1993-02-12,paute,-2.6,-78.6,era5,24.8,12.2,,open_meteo:era5,2026-09-22T08:49:15Z,open_meteo/1993/01/era5.1993-01-01.ndjson#era5:paute:-2.6:-78.6:1993-01-01:1993-12-31
1993-02-13,paute,-2.6,-78.6,era5,18.5,12.2,,open_meteo:era5,2026-09-22T08:49:15Z,open_meteo/1993/01/era5.1993-01-01.ndjson#era5:paute:-2.6:-78.6:1993-01-01:1993-12-31
1993-02-14,paute,-2.6,-78.6,era5,2.6,12.6,,open_meteo:era5,2026-09-22T08:49:15Z,open_meteo/1993/01/era5.1993-01-01.ndjson#era5:paute:-2.6:-78.6:1993-01-01:1993-12-31
1993-02-15,paute,-2.6,-78.6,era5,9.9,12,,open_meteo:era5,2026-09-22T08:49:15Z,open_meteo/1993/01/era5.1993-01-01.ndjson#era5:paute:-2.6:-78.6:1993-01-01:1993-12-31
1993-02-16,paute,-2.6,-78.6,era5,5.5,11.9,,open_meteo:era5,2026-09-22T08:49:15Z,open_meteo/1993/01/era5.1993-01-01.ndjson#era5:paute:-2.6:-78.6:1993-01-01:1993-12-31
