date,basin,latitude,longitude,kind,precip_mm,temp_mean_c,issued_at,source,fetched_at,raw_ref
2012-01-01,paute,-2.6,-78.6,era5,3.1,12.5,,open_meteo:era5,2026-09-22T08:49:37Z,open_meteo/2012/01/era5.ndjson.gz#era5:paute:-2.6:-78.6:2012-01-01:2012-12-31
2012-01-02,paute,-2.6,-78.6,era5,6.2,13.3,,open_meteo:era5,2026-09-22T08:49:37Z,open_meteo/2012/01/era5.ndjson.gz#era5:paute:-2.6:-78.6:2012-01-01:2012-12-31
2012-01-03,paute,-2.6,-78.6,era5,22.2,13.1,,open_meteo:era5,2026-09-22T08:49:37Z,open_meteo/2012/01/era5.ndjson.gz#era5:paute:-2.6:-78.6:2012-01-01:2012-12-31
2012-01-04,paute,-2.6,-78.6,era5,11.9,12,,open_meteo:era5,2026-09-22T08:49:37Z,open_meteo/2012/01/era5.ndjson.gz#era5:paute:-2.6:-78.6:2012-01-01:2012-12-31
2012-01-05,paute,-2.6,-78.6,era5,29.2,11.8,,open_meteo:era5,2026-09-22T08:49:37Z,open_meteo/2012/01/era5.ndjson.gz#era5:paute:-2.6:-78.6:2012-01-01:2012-12-31
2012-01-06,paute,-2.6,-78.6,era5,20.7,12.2,,open_meteo:era5,2026-09-22T08:49:37Z,open_meteo/2012/01/era5.ndjson.gz#era5:paute:-2.6:-78.6:2012-01-01:2012-12-31
2012-01-07,paute,-2.6,-78.6,era5,8.6,11.7,,open_meteo:era5,2026-09-22T08:49:37Z,open_meteo/2012/01/era5.ndjson.gz#era5:paute:-2.6:-78.6:2012-01-01:2012-12-31
2012-01-08,paute,-2.6,-78.6,era5,2.9,11.3,,open_meteo:era5,2026-09-22T08:49:37Z,open_meteo/2012/01/era5.ndjson.gz#era5:paute:-2.6:-78.6:2012-01-01:2012-12-31
2012-01-09,paute,-2.6,-78.6,era5,2.5,11.8,,open_meteo:era5,2026-09-22T08:49:37Z,open_meteo/2012/01/era5.ndjson.gz#era5:paute:-2.6:-78.6:2012-01-01:2012-12-31
2012-01-10,paute,-2.6,-78.6,era5,2.9,11.7,,open_meteo:era5,2026-09-22T08:49:37Z,open_meteo/2012/01/era5.ndjson.gz#era5:paute:-2.6:-78.6:2012-01-01:2012-12-31
2012-01-11,paute,-2.6,-78.6,era5,3.6,12.6,,open_meteo:era5,2026-09-22T08:49:37Z,open_meteo/2012/01/era5.ndjson.gz#era5:paute:-2.6:-78.6:2012-01-01:2012-12-31
2012-01-12,paute,-2.6,-78.6,era5,5.3,11.7,,open_meteo:era5,2026-09-22T08:49:37Z,open_meteo/2012/01/era5.ndjson.gz#era5:paute:-2.6:-78.6:2012-01-01:2012-12-31
2012-01-13,paute,-2.6,-78.6,era5,3.1,11.3,,open_meteo:era5,2026-09-22T08:49:37Z,open_meteo/2012/01/era5.ndjson.gz#era5:paute:-2.6:-78.6:2012-01-01:2012-12-31
2012-01-14,paute,-2.6,-78.6,era5,8.3,11.9,,open_meteo:era5,2026-09-22T08:49:37Z,open_meteo/2012/01/era5.ndjson.gz#era5:paute:-2.6:-78.6:2012-01-01:2012-12-31
2012-01-15,paute,-2.6,-78.6,era5,8.2,11.2,,open_meteo:era5,2026-09-22T08:49:37Z,open_meteo/2012/01/era5.ndjson.gz#era5:paute:-2.6:-78.6:2012-01-01:2012-12-31
