date,basin,latitude,longitude,kind,precip_mm,temp_mean_c,issued_at,source,fetched_at,raw_ref
1992-01-01,paute,-2.6,-78.6,era5,4.8,12.2,,open_meteo:era5,2026-09-22T08:49:14Z,open_meteo/1992/01/era5.1992-01-01.ndjson#era5:paute:-2.6:-78.6:1992-01-01:1992-12-31
1992-01-02,paute,-2.6,-78.6,era5,5.9,11.8,,open_meteo:era5,2026-09-22T08:49:14Z,open_meteo/1992/01/era5.1992-01-01.ndjson#era5:paute:-2.6:-78.6:1992-01-01:1992-12-31
1992-01-03,paute,-2.6,-78.6,era5,3.7,12.5,,open_meteo:era5,2026-09-22T08:49:14Z,open_meteo/1992/01/era5.1992-01-01.ndjson#era5:paute:-2.6:-78.6:1992-01-01:1992-12-31
1992-01-04,paute,-2.6,-78.6,era5,1.4,12,,open_meteo:era5,2026-09-22T08:49:14Z,open_meteo/1992/01/era5.1992-01-01.ndjson#era5:paute:-2.6:-78.6:1992-01-01:1992-12-31
1992-01-05,paute,-2.6,-78.6,era5,1.2,11.8,,open_meteo:era5,2026-09-22T08:49:14Z,open_meteo/1992/01/era5.1992-01-01.ndjson#era5:paute:-2.6:-78.6:1992-01-01:1992-12-31
1992-01-06,paute,-2.6,-78.6,era5,4.1,11.8,,open_meteo:era5,2026-09-22T08:49:14Z,open_meteo/1992/01/era5.1992-01-01.ndjson#era5:paute:-2.6:-78.6:1992-01-01:1992-12-31
1992-01-07,paute,-2.6,-78.6,era5,3.6,12.2,,open_meteo:era5,2026-09-22T08:49:14Z,open_meteo/1992/01/era5.1992-01-01.ndjson#era5:paute:-2.6:-78.6:1992-01-01:1992-12-31
1992-01-08,paute,-2.6,-78.6,era5,2.1,12.7,,open_meteo:era5,2026-09-22T08:49:14Z,open_meteo/1992/01/era5.1992-01-01.ndjson#era5:paute:-2.6:-78.6:1992-01-01:1992-12-31
1992-01-09,paute,-2.6,-78.6,era5,5,12.8,,open_meteo:era5,2026-09-22T08:49:14Z,open_meteo/1992/01/era5.1992-01-01.ndjson#era5:paute:-2.6:-78.6:1992-01-01:1992-12-31
1992-01-10,paute,-2.6,-78.6,era5,3.2,12.8,,open_meteo:era5,2026-09-22T08:49:14Z,open_meteo/1992/01/era5.1992-01-01.ndjson#era5:paute:-2.6:-78.6:1992-01-01:1992-12-31
1992-01-11,paute,-2.6,-78.6,era5,1.8,12.8,,open_meteo:era5,2026-09-22T08:49:14Z,open_meteo/1992/01/era5.1992-01-01.ndjson#era5:paute:-2.6:-78.6:1992-01-01:1992-12-31
1992-01-12,paute,-2.6,-78.6,era5,6,12.7,,open_meteo:era5,2026-09-22T08:49:14Z,open_meteo/1992/01/era5.1992-01-01.ndjson#era5:paute:-2.6:-78.6:1992-01-01:1992-12-31
1992-01-13,paute,-2.6,-78.6,era5,17.6,12.8,,open_meteo:era5,2026-09-22T08:49:14Z,open_meteo/1992/01/era5.1992-01-01.ndjson#era5:paute:-2.6:-78.6:1992-01-01:1992-12-31
1992-01-14,paute,-2.6,-78.6,era5,18.6,12.2,,open_meteo:era5,2026-09-22T08:49:14Z,open_meteo/1992/01/era5.1992-01-01.ndjson#era5:paute:-2.6:-78.6:1992-01-01:1992-12-31
1992-01-15,paute,-2.6,-78.6,era5,62.3,11.8,,open_meteo:era5,2026-09-22T08:49:14Z,open_meteo/1992/01/era5.1992-01-01.ndjson#era5:paute:-2.6:-78.6:1992-01-01:1992-12-31
1992-01-16,paute,-2.6,-78.6,era5,40.4,12.2,,open_meteo:era5,2026-09-22T08:49:14Z,open_meteo/1992/01/era5.1992-01-01.ndjson#era5:paute:-2.6:-78.6:1992-01-01:1992-12-31
1992-01-17,paute,-2.6,-78.6,era5,0,12.2,,open_meteo:era5,2026-09-22T08:49:14Z,open_meteo/1992/01/era5.1992-01-01.ndjson#era5:paute:-2.6:-78.6:1992-01-01:1992-12-31
1992-01-18,paute,-2.6,-78.6,era5,0,11.4,,open_meteo:era5,2026-09-22T08:49:14Z,open_meteo/1992/01/era5.1992-01-01.ndjson#era5:paute:-2.6:-78.6:1992-01-01:1992-12-31
1992-01-19,paute,-2.6,-78.6,era5,0.8,12.6,,open_meteo:era5,2026-09-22T08:49:14Z,open_meteo/1992/01/era5.1992-01-01.ndjson#era5:paute:-2.6:-78.6:1992-01-01:1992-12-31
1992-01-20,paute,-2.6,-78.6,era5,3.7,12.5,,open_meteo:era5,2026-09-22T08:49:14Z,open_meteo/1992/01/era5.1992-01-01.ndjson#era5:paute:-2.6:-78.6:1992-01-01:1992-12-31
1992-01-21,paute,-2.6,-78.6,era5,1.6,12.8,,open_meteo:era5,2026-09-22T08:49:14Z,open_meteo/1992/01/era5.1992-01-01.ndjson#era5:paute:-2.6:-78.6:1992-01-01:1992-12-31
1992-01-22,paute,-2.6,-78.6,era5,3.4,12.9,,open_meteo:era5,2026-09-22T08:49:14Z,open_meteo/1992/01/era5.1992-01-01.ndjson#era5:paute:-2.6:-78.6:1992-01-01:1992-12-31
1992-01-23,paute,-2.6,-78.6,era5,2.8,12,,open_meteo:era5,2026-09-22T08:49:14Z,open_meteo/1992/01/era5.1992-01-01.ndjson#era5:paute:-2.6:-78.6:1992-01-01:1992-12-31
1992-01-24,paute,-2.6,-78.6,era5,1.8,12.9,,open_meteo:era5,2026-09-22T08:49:14Z,open_meteo/1992/01/era5.1992-01-01.ndjson#era5:paute:-2.6:-78.6:1992-01-01:1992-12-31
1992-01-25,paute,-2.6,-78.6,era5,54.2,12.9,,open_meteo:era5,2026-09-22T08:49:14Z,open_meteo/1992/01/era5.1992-01-01.ndjson#era5:paute:-2.6:-78.6:1992-01-01:1992-12-31
1992-01-26,paute,-2.6,-78.6,era5,15.3,12.9,,open_meteo:era5,2026-09-22T08:49:14Z,open_meteo/1992/01/era5.1992-01-01.ndjson#era5:paute:-2.6:-78.6:1992-01-01:1992-12-31
1992-01-27,paute,-2.6,-78.6,era5,9.1,11.7,,open_meteo:era5,2026-09-22T08:49:14Z,open_meteo/1992/01/era5.1992-01-01.ndjson#era5:paute:-2.6:-78.6:1992-01-01:1992-12-31
1992-01-28,paute,-2.6,-78.6,era5,9.4,12.1,,open_meteo:era5,2026-09-22T08:49:14Z,open_meteo/1992/01/era5.1992-01-01.ndjson#era5:paute:-2.6:-78.6:1992-01-01:1992-12-31
1992-01-29,paute,-2.6,-78.6,era5,6.2,12.4,,open_meteo:era5,2026-09-22T08:49:14Z,open_meteo/1992/01/era5.1992-01-01.ndjson#era5:paute:-2.6:-78.6:1992-01-01:1992-12-31
1992-01-30,paute,-2.6,-78.6,era5,2.9,11.9,,open_meteo:era5,2026-09-22T08:49:14Z,open_meteo/1992/01/era5.1992-01-01.ndjson#era5:paute:-2.6:-78.6:1992-01-01:1992-12-31
1992-01-31,paute,-2.6,-78.6,era5,1.3,13,,open_meteo:era5,2026-09-22T08:49:14Z,open_meteo/1992/01/era5.1992-01-01.ndjson#era5:paute:-2.6:-78.6:1992-01-01:1992-12-31
1992-02-01,paute,-2.6,-78.6,era5,1.2,12.8,,open_meteo:era5,2026-09-22T08:49:14Z,open_meteo/1992/01/era5.1992-01-01.ndjson#era5:paute:-2.6:-78.6:1992-01-01:1992-12-31
1992-02-02,paute,-2.6,-78.6,era5,1.6,13.4,,open_meteo:era5,2026-09-22T08:49:14Z,open_meteo/1992/01/era5.1992-01-01.ndjson#era5:paute:-2.6:-78.6:1992-01-01:1992-12-31
1992-02-03,paute,-2.6,-78.6,era5,3.8,13.3,,open_meteo:era5,2026-09-22T08:49:14Z,open_meteo/1992/01/era5.1992-01-01.ndjson#era5:paute:-2.6:-78.6:1992-01-01:1992-12-31
1992-02-04,paute,-2.6,-78.6,era5,3.7,13.9,,open_meteo:era5,2026-09-22T08:49:14Z,open_meteo/1992/01/era5.1992-01-01.ndjson#era5:paute:-2.6:-78.6:1992-01-01:1992-12-31
1992-02-05,paute,-2.6,-78.6,era5,21.9,13,,open_meteo:era5,2026-09-22T08:49:14Z,open_meteo/1992/01/era5.1992-01-01.ndjson#era5:paute:-2.6:-78.6:1992-01-01:1992-12-31
