date,basin,latitude,longitude,kind,precip_mm,temp_mean_c,issued_at,source,fetched_at,raw_ref
2013-01-01,paute,-2.6,-78.6,era5,3,11.8,,open_meteo:era5,2026-09-22T08:49:38Z,open_meteo/2013/01/era5.2013-01-01.ndjson#era5:paute:-2.6:-78.6:2013-01-01:2013-12-31
2013-01-02,paute,-2.6,-78.6,era5,1.8,11.3,,open_meteo:era5,2026-09-22T08:49:38Z,open_meteo/2013/01/era5.2013-01-01.ndjson#era5:paute:-2.6:-78.6:2013-01-01:2013-12-31
2013-01-03,paute,-2.6,-78.6,era5,8.7,12,,open_meteo:era5,2026-09-22T08:49:38Z,open_meteo/2013/01/era5.2013-01-01.ndjson#era5:paute:-2.6:-78.6:2013-01-01:2013-12-31
2013-01-04,paute,-2.6,-78.6,era5,4.5,12.2,,open_meteo:era5,2026-09-22T08:49:38Z,open_meteo/2013/01/era5.2013-01-01.ndjson#era5:paute:-2.6:-78.6:2013-01-01:2013-12-31
2013-01-05,paute,-2.6,-78.6,era5,4.1,11.9,,open_meteo:era5,2026-09-22T08:49:38Z,open_meteo/2013/01/era5.2013-01-01.ndjson#era5:paute:-2.6:-78.6:2013-01-01:2013-12-31
2013-01-06,paute,-2.6,-78.6,era5,5.2,12.6,,open_meteo:era5,2026-09-22T08:49:38Z,open_meteo/2013/01/era5.2013-01-01.ndjson#era5:paute:-2.6:-78.6:2013-01-01:2013-12-31
2013-01-07,paute,-2.6,-78.6,era5,1.7,12.1,,open_meteo:era5,2026-09-22T08:49:38Z,open_meteo/2013/01/era5.2013-01-01.ndjson#era5:paute:-2.6:-78.6:2013-01-01:2013-12-31
2013-01-08,paute,-2.6,-78.6,era5,0.3,11.8,,open_meteo:era5,2026-09-22T08:49:38Z,open_meteo/2013/01/era5.2013-01-01.ndjson#era5:paute:-2.6:-78.6:2013-01-01:2013-12-31
2013-01-09,paute,-2.6,-78.6,era5,5.1,11.4,,open_meteo:era5,2026-09-22T08:49:38Z,open_meteo/2013/01/era5.2013-01-01.ndjson#era5:paute:-2.6:-78.6:2013-01-01:2013-12-31
2013-01-10,paute,-2.6,-78.6,era5,4.4,12.2,,open_meteo:era5,2026-09-22T08:49:38Z,open_meteo/2013/01/era5.2013-01-01.ndjson#era5:paute:-2.6:-78.6:2013-01-01:2013-12-31
2013-01-11,paute,-2.6,-78.6,era5,2.5,12.6,,open_meteo:era5,2026-09-22T08:49:38Z,open_meteo/2013/01/era5.2013-01-01.ndjson#era5:paute:-2.6:-78.6:2013-01-01:2013-12-31
2013-01-12,paute,-2.6,-78.6,era5,12.2,12.8,,open_meteo:era5,2026-09-22T08:49:38Z,open_meteo/2013/01/era5.2013-01-01.ndjson#era5:paute:-2.6:-78.6:2013-01-01:2013-12-31
2013-01-13,paute,-2.6,-78.6,era5,19,12.9,,open_meteo:era5,2026-09-22T08:49:38Z,open_meteo/2013/01/era5.2013-01-01.ndjson#era5:paute:-2.6:-78.6:2013-01-01:2013-12-31
2013-01-14,paute,-2.6,-78.6,era5,24.8,13,,open_meteo:era5,2026-09-22T08:49:38Z,open_meteo/2013/01/era5.2013-01-01.ndjson#era5:paute:-2.6:-78.6:2013-01-01:2013-12-31
2013-01-15,paute,-2.6,-78.6,era5,16.9,12.5,,open_meteo:era5,2026-09-22T08:49:38Z,open_meteo/2013/01/era5.2013-01-01.ndjson#era5:paute:-2.6:-78.6:2013-01-01:2013-12-31
2013-01-16,paute,-2.6,-78.6,era5,17.1,11.9,,open_meteo:era5,2026-09-22T08:49:38Z,open_meteo/2013/01/era5.2013-01-01.ndjson#era5:paute:-2.6:-78.6:2013-01-01:2013-12-31
2013-01-17,paute,-2.6,-78.6,era5,16.2,12.4,,open_meteo:era5,2026-09-22T08:49:38Z,open_meteo/2013/01/era5.2013-01-01.ndjson#era5:paute:-2.6:-78.6:2013-01-01:2013-12-31
2013-01-18,paute,-2.6,-78.6,era5,9.1,12.3,,open_meteo:era5,2026-09-22T08:49:38Z,open_meteo/2013/01/era5.2013-01-01.ndjson#era5:paute:-2.6:-78.6:2013-01-01:2013-12-31
2013-01-19,paute,-2.6,-78.6,era5,1.1,11.9,,open_meteo:era5,2026-09-22T08:49:38Z,open_meteo/2013/01/era5.2013-01-01.ndjson#era5:paute:-2.6:-78.6:2013-01-01:2013-12-31
2013-01-20,paute,-2.6,-78.6,era5,1.6,12.9,,open_meteo:era5,2026-09-22T08:49:38Z,open_meteo/2013/01/era5.2013-01-01.ndjson#era5:paute:-2.6:-78.6:2013-01-01:2013-12-31
2013-01-21,paute,-2.6,-78.6,era5,2.3,12.5,,open_meteo:era5,2026-09-22T08:49:38Z,open_meteo/2013/01/era5.2013-01-01.ndjson#era5:paute:-2.6:-78.6:2013-01-01:2013-12-31
2013-01-22,paute,-2.6,-78.6,era5,6.4,12.3,,open_meteo:era5,2026-09-22T08:49:38Z,open_meteo/2013/01/era5.2013-01-01.ndjson#era5:paute:-2.6:-78.6:2013-01-01:2013-12-31
2013-01-23,paute,-2.6,-78.6,era5,13.6,12.1,,open_meteo:era5,2026-09-22T08:49:38Z,open_meteo/2013/01/era5.2013-01-01.ndjson#era5:paute:-2.6:-78.6:2013-01-01:2013-12-31
2013-01-24,paute,-2.6,-78.6,era5,36.5,13,,open_meteo:era5,2026-09-22T08:49:38Z,open_meteo/2013/01/era5.2013-01-01.ndjson#era5:paute:-2.6:-78.6:2013-01-01:2013-12-31
2013-01-25,paute,-2.6,-78.6,era5,9.9,13.5,,open_meteo:era5,2026-09-22T08:49:38Z,open_meteo/2013/01/era5.2013-01-01.ndjson#era5:paute:-2.6:-78.6:2013-01-01:2013-12-31
2013-01-26,paute,-2.6,-78.6,era5,4.2,12.9,,open_meteo:era5,2026-09-22T08:49:38Z,open_meteo/2013/01/era5.2013-01-01.ndjson#era5:paute:-2.6:-78.6:2013-01-01:2013-12-31
2013-01-27,paute,-2.6,-78.6,era5,0.5,12.8,,open_meteo:era5,2026-09-22T08:49:38Z,open_meteo/2013/01/era5.2013-01-01.ndjson#era5:paute:-2.6:-78.6:2013-01-01:2013-12-31
2013-01-28,paute,-2.6,-78.6,era5,1.6,12.5,,open_meteo:era5,2026-09-22T08:49:38Z,open_meteo/2013/01/era5.2013-01-01.ndjson#era5:paute:-2.6:-78.6:2013-01-01:2013-12-31
2013-01-29,paute,-2.6,-78.6,era5,1.8,12.9,,open_meteo:era5,2026-09-22T08:49:38Z,open_meteo/2013/01/era5.2013-01-01.ndjson#era5:paute:-2.6:-78.6:2013-01-01:2013-12-31
2013-01-30,paute,-2.6,-78.6,era5,0.5,13.1,,open_meteo:era5,2026-09-22T08:49:38Z,open_meteo/2013/01/era5.2013-01-01.ndjson#era5:paute:-2.6:-78.6:2013-01-01:2013-12-31
2013-01-31,paute,-2.6,-78.6,era5,2.4,12.9,,open_meteo:era5,2026-09-22T08:49:38Z,open_meteo/2013/01/era5.2013-01-01.ndjson#era5:paute:-2.6:-78.6:2013-01-01:2013-12-31
2013-02-01,paute,-2.6,-78.6,era5,14.9,13.3,,open_meteo:era5,2026-09-22T08:49:38Z,open_meteo/2013/01/era5.2013-01-01.ndjson#era5:paute:-2.6:-78.6:2013-01-01:2013-12-31
2013-02-02,paute,-2.6,-78.6,era5,25.5,13.3,,open_meteo:era5,2026-09-22T08:49:38Z,open_meteo/2013/01/era5.2013-01-01.ndjson#era5:paute:-2.6:-78.6:2013-01-01:2013-12-31
2013-02-03,paute,-2.6,-78.6,era5,7.3,13.3,,open_meteo:era5,2026-09-22T08:49:38Z,open_meteo/2013/01/era5.2013-01-01.ndjson#era5:paute:-2.6:-78.6:2013-01-01:2013-12-31
2013-02-04,paute,-2.6,-78.6,era5,15.2,12.2,,open_meteo:era5,2026-09-22T08:49:38Z,open_meteo/2013/01/era5.2013-01-01.ndjson#era5:paute:-2.6:-78.6:2013-01-01:2013-12-31
2013-02-05,paute,-2.6,-78.6,era5,20.1,12.3,,open_meteo:era5,2026-09-22T08:49:38Z,open_meteo/2013/01/era5.2013-01-01.ndjson#era5:paute:-2.6:-78.6:2013-01-01:2013-12-31
2013-02-06,paute,-2.6,-78.6,era5,7.7,12.7,,open_meteo:era5,2026-09-22T08:49:38Z,open_meteo/2013/01/era5.2013-01-01.ndjson#era5:paute:-2.6:-78.6:2013-01-01:2013-12-31
2013-02-07,paute,-2.6,-78.6,era5,11.1,13.1,,open_meteo:era5,2026-09-22T08:49:38Z,open_meteo/2013/01/era5.2013-01-01.ndjson#era5:paute:-2.6:-78.6:2013-01-01:2013-12-31
2013-02-08,paute,-2.6,-78.6,era5,15.1,13.2,,open_meteo:era5,2026-09-22T08:49:38Z,open_meteo/2013/01/era5.2013-01-01.ndjson#era5:paute:-2.6:-78.6:2013-01-01:2013-12-31
2013-02-09,paute,-2.6,-78.6,era5,23.8,11.5,,open_meteo:era5,2026-09-22T08:49:38Z,open_meteo/2013/01/era5.2013-01-01.ndjson#era5:paute:-2.6:-78.6:2013-01-01:2013-12-31
2013-02-10,paute,-2.6,-78.6,era5,21.3,12.3,,open_meteo:era5,2026-09-22T08:49:38Z,open_meteo/2013/01/era5.2013-01-01.ndjson#era5:paute:-2.6:-78.6:2013-01-01:2013-12-31
2013-02-11,paute,-2.6,-78.6,era5,20.4,12.6,,open_meteo:era5,2026-09-22T08:49:38Z,open_meteo/2013/01/era5.2013-01-01.ndjson#era5:paute:-2.6:-78.6:2013-01-01:2013-12-31
2013-02-12,paute,-2.6,-78.6,era5,34.8,11.8,,open_meteo:era5,2026-09-22T08:49:38Z,open_meteo/2013/01/era5.2013-01-01.ndjson#era5:paute:-2.6:-78.6:2013-01-01:2013-12-31
2013-02-13,paute,-2.6,-78.6,era5,29.9,11.7,,open_meteo:era5,2026-09-22T08:49:38Z,open_meteo/2013/01/era5.2013-01-01.ndjson#era5:paute:-2.6:-78.6:2013-01-01:2013-12-31
