date,basin,latitude,longitude,kind,precip_mm,temp_mean_c,issued_at,source,fetched_at,raw_ref
2009-01-01,paute,-2.6,-78.6,era5,3.4,12,,open_meteo:era5,2026-09-22T08:49:33Z,open_meteo/2009/01/era5.2009-01-01.ndjson#era5:paute:-2.6:-78.6:2009-01-01:2009-12-31
2009-01-02,paute,-2.6,-78.6,era5,0.4,11.7,,open_meteo:era5,2026-09-22T08:49:33Z,open_meteo/2009/01/era5.2009-01-01.ndjson#era5:paute:-2.6:-78.6:2009-01-01:2009-12-31
2009-01-03,paute,-2.6,-78.6,era5,1,12.7,,open_meteo:era5,2026-09-22T08:49:33Z,open_meteo/2009/01/era5.2009-01-01.ndjson#era5:paute:-2.6:-78.6:2009-01-01:2009-12-31
2009-01-04,paute,-2.6,-78.6,era5,1.7,12.8,,open_meteo:era5,2026-09-22T08:49:33Z,open_meteo/2009/01/era5.2009-01-01.ndjson#era5:paute:-2.6:-78.6:2009-01-01:2009-12-31
2009-01-05,paute,-2.6,-78.6,era5,5.5,12.3,,open_meteo:era5,2026-09-22T08:49:33Z,open_meteo/2009/01/era5.2009-01-01.ndjson#era5:paute:-2.6:-78.6:2009-01-01:2009-12-31
2009-01-06,paute,-2.6,-78.6,era5,13,12.7,,open_meteo:era5,2026-09-22T08:49:33Z,open_meteo/2009/01/era5.2009-01-01.ndjson#era5:paute:-2.6:-78.6:2009-01-01:2009-12-31
2009-01-07,paute,-2.6,-78.6,era5,9.8,12.6,,open_meteo:era5,2026-09-22T08:49:33Z,open_meteo/2009/01/era5.2009-01-01.ndjson#era5:paute:-2.6:-78.6:2009-01-01:2009-12-31
2009-01-08,paute,-2.6,-78.6,era5,8.6,12.3,,open_meteo:era5,2026-09-22T08:49:33Z,open_meteo/2009/01/era5.2009-01-01.ndjson#era5:paute:-2.6:-78.6:2009-01-01:2009-12-31
2009-01-09,paute,-2.6,-78.6,era5,2,12.3,,open_meteo:era5,2026-09-22T08:49:33Z,open_meteo/2009/01/era5.2009-01-01.ndjson#era5:paute:-2.6:-78.6:2009-01-01:2009-12-31
2009-01-10,paute,-2.6,-78.6,era5,3,12,,open_meteo:era5,2026-09-22T08:49:33Z,open_meteo/2009/01/era5.2009-01-01.ndjson#era5:paute:-2.6:-78.6:2009-01-01:2009-12-31
2009-01-11,paute,-2.6,-78.6,era5,2.7,11.8,,open_meteo:era5,2026-09-22T08:49:33Z,open_meteo/2009/01/era5.2009-01-01.ndjson#era5:paute:-2.6:-78.6:2009-01-01:2009-12-31
2009-01-12,paute,-2.6,-78.6,era5,1,10.8,,open_meteo:era5,2026-09-22T08:49:33Z,open_meteo/2009/01/era5.2009-01-01.ndjson#era5:paute:-2.6:-78.6:2009-01-01:2009-12-31
2009-01-13,paute,-2.6,-78.6,era5,13.7,10.5,,open_meteo:era5,2026-09-22T08:49:33Z,open_meteo/2009/01/era5.2009-01-01.ndjson#era5:paute:-2.6:-78.6:2009-01-01:2009-12-31
2009-01-14,paute,-2.6,-78.6,era5,8.7,11.2,,open_meteo:era5,2026-09-22T08:49:33Z,open_meteo/2009/01/era5.2009-01-01.ndjson#era5:paute:-2.6:-78.6:2009-01-01:2009-12-31
2009-01-15,paute,-2.6,-78.6,era5,3,12.2,,open_meteo:era5,2026-09-22T08:49:33Z,open_meteo/2009/01/era5.2009-01-01.ndjson#era5:paute:-2.6:-78.6:2009-01-01:2009-12-31
2009-01-16,paute,-2.6,-78.6,era5,11.8,13,,open_meteo:era5,2026-09-22T08:49:33Z,open_meteo/2009/01/era5.2009-01-01.ndjson#era5:paute:-2.6:-78.6:2009-01-01:2009-12-31
2009-01-17,paute,-2.6,-78.6,era5,14,12.3,,open_meteo:era5,2026-09-22T08:49:33Z,open_meteo/2009/01/era5.2009-01-01.ndjson#era5:paute:-2.6:-78.6:2009-01-01:2009-12-31
2009-01-18,paute,-2.6,-78.6,era5,14.7,11.8,,open_meteo:era5,2026-09-22T08:49:33Z,open_meteo/2009/01/era5.2009-01-01.ndjson#era5:paute:-2.6:-78.6:2009-01-01:2009-12-31
2009-01-19,paute,-2.6,-78.6,era5,18.1,11.6,,open_meteo:era5,2026-09-22T08:49:33Z,open_meteo/2009/01/era5.2009-01-01.ndjson#era5:paute:-2.6:-78.6:2009-01-01:2009-12-31
2009-01-20,paute,-2.6,-78.6,era5,20.8,11.5,,open_meteo:era5,2026-09-22T08:49:33Z,open_meteo/2009/01/era5.2009-01-01.ndjson#era5:paute:-2.6:-78.6:2009-01-01:2009-12-31
2009-01-21,paute,-2.6,-78.6,era5,5.8,12.2,,open_meteo:era5,2026-09-22T08:49:33Z,open_meteo/2009/01/era5.2009-01-01.ndjson#era5:paute:-2.6:-78.6:2009-01-01:2009-12-31
2009-01-22,paute,-2.6,-78.6,era5,6.4,11.7,,open_meteo:era5,2026-09-22T08:49:33Z,open_meteo/2009/01/era5.2009-01-01.ndjson#era5:paute:-2.6:-78.6:2009-01-01:2009-12-31
2009-01-23,paute,-2.6,-78.6,era5,4.6,12.2,,open_meteo:era5,2026-09-22T08:49:33Z,open_meteo/2009/01/era5.2009-01-01.ndjson#era5:paute:-2.6:-78.6:2009-01-01:2009-12-31
2009-01-24,paute,-2.6,-78.6,era5,17.7,12.1,,open_meteo:era5,2026-09-22T08:49:33Z,open_meteo/2009/01/era5.2009-01-01.ndjson#era5:paute:-2.6:-78.6:2009-01-01:2009-12-31
2009-01-25,paute,-2.6,-78.6,era5,11.9,12.3,,open_meteo:era5,2026-09-22T08:49:33Z,open_meteo/2009/01/era5.2009-01-01.ndjson#era5:paute:-2.6:-78.6:2009-01-01:2009-12-31
2009-01-26,paute,-2.6,-78.6,era5,12.8,11.7,,open_meteo:era5,2026-09-22T08:49:33Z,open_meteo/2009/01/era5.2009-01-01.ndjson#era5:paute:-2.6:-78.6:2009-01-01:2009-12-31
2009-01-27,paute,-2.6,-78.6,era5,4.6,12,,open_meteo:era5,2026-09-22T08:49:33Z,open_meteo/2009/01/era5.2009-01-01.ndjson#era5:paute:-2.6:-78.6:2009-01-01:2009-12-31
2009-01-28,paute,-2.6,-78.6,era5,10.5,12.3,,open_meteo:era5,2026-09-22T08:49:33Z,open_meteo/2009/01/era5.2009-01-01.ndjson#era5:paute:-2.6:-78.6:2009-01-01:2009-12-31
2009-01-29,paute,-2.6,-78.6,era5,5,11.7,,open_meteo:era5,2026-09-22T08:49:33Z,open_meteo/2009/01/era5.2009-01-01.ndjson#era5:paute:-2.6:-78.6:2009-01-01:2009-12-31
2009-01-30,paute,-2.6,-78.6,era5,2.3,11.9,,open_meteo:era5,2026-09-22T08:49:33Z,open_meteo/2009/01/era5.2009-01-01.ndjson#era5:paute:-2.6:-78.6:2009-01-01:2009-12-31
