date,basin,latitude,longitude,kind,precip_mm,temp_mean_c,issued_at,source,fetched_at,raw_ref
2002-01-01,paute,-2.6,-78.6,era5,14,12.4,,open_meteo:era5,2026-09-22T08:49:25Z,open_meteo/2002/01/era5.2002-01-01.ndjson#era5:paute:-2.6:-78.6:2002-01-01:2002-12-31
2002-01-02,paute,-2.6,-78.6,era5,13.2,11.7,,open_meteo:era5,2026-09-22T08:49:25Z,open_meteo/2002/01/era5.2002-01-01.ndjson#era5:paute:-2.6:-78.6:2002-01-01:2002-12-31
2002-01-03,paute,-2.6,-78.6,era5,5.4,12,,open_meteo:era5,2026-09-22T08:49:25Z,open_meteo/2002/01/era5.2002-01-01.ndjson#era5:paute:-2.6:-78.6:2002-01-01:2002-12-31
2002-01-04,paute,-2.6,-78.6,era5,11.6,12,,open_meteo:era5,2026-09-22T08:49:25Z,open_meteo/2002/01/era5.2002-01-01.ndjson#era5:paute:-2.6:-78.6:2002-01-01:2002-12-31
2002-01-05,paute,-2.6,-78.6,era5,8.9,12.1,,open_meteo:era5,2026-09-22T08:49:25Z,open_meteo/2002/01/era5.2002-01-01.ndjson#era5:paute:-2.6:-78.6:2002-01-01:2002-12-31
2002-01-06,paute,-2.6,-78.6,era5,2.5,12.6,,open_meteo:era5,2026-09-22T08:49:25Z,open_meteo/2002/01/era5.2002-01-01.ndjson#era5:paute:-2.6:-78.6:2002-01-01:2002-12-31
2002-01-07,paute,-2.6,-78.6,era5,8.4,12.9,,open_meteo:era5,2026-09-22T08:49:25Z,open_meteo/2002/01/era5.2002-01-01.ndjson#era5:paute:-2.6:-78.6:2002-01-01:2002-12-31
2002-01-08,paute,-2.6,-78.6,era5,30.7,12.7,,open_meteo:era5,2026-09-22T08:49:25Z,open_meteo/2002/01/era5.2002-01-01.ndjson#era5:paute:-2.6:-78.6:2002-01-01:2002-12-31
2002-01-09,paute,-2.6,-78.6,era5,10,12.1,,open_meteo:era5,2026-09-22T08:49:25Z,open_meteo/2002/01/era5.2002-01-01.ndjson#era5:paute:-2.6:-78.6:2002-01-01:2002-12-31
2002-01-10,paute,-2.6,-78.6,era5,34.1,11.4,,open_meteo:era5,2026-09-22T08:49:25Z,open_meteo/2002/01/era5.2002-01-01.ndjson#era5:paute:-2.6:-78.6:2002-01-01:2002-12-31
2002-01-11,paute,-2.6,-78.6,era5,47.7,11.3,,open_meteo:era5,2026-09-22T08:49:25Z,open_meteo/2002/01/era5.2002-01-01.ndjson#era5:paute:-2.6:-78.6:2002-01-01:2002-12-31
2002-01-12,paute,-2.6,-78.6,era5,31,11.1,,open_meteo:era5,2026-09-22T08:49:25Z,open_meteo/2002/01/era5.2002-01-01.ndjson#era5:paute:-2.6:-78.6:2002-01-01:2002-12-31
2002-01-13,paute,-2.6,-78.6,era5,8.8,11.5,,open_meteo:era5,2026-09-22T08:49:25Z,open_meteo/2002/01/era5.2002-01-01.ndjson#era5:paute:-2.6:-78.6:2002-01-01:2002-12-31
2002-01-14,paute,-2.6,-78.6,era5,1.1,11.5,,open_meteo:era5,2026-09-22T08:49:25Z,open_meteo/2002/01/era5.2002-01-01.ndjson#era5:paute:-2.6:-78.6:2002-01-01:2002-12-31
2002-01-15,paute,-2.6,-78.6,era5,1.7,11.4,,open_meteo:era5,2026-09-22T08:49:25Z,open_meteo/2002/01/era5.2002-01-01.ndjson#era5:paute:-2.6:-78.6:2002-01-01:2002-12-31
2002-01-16,paute,-2.6,-78.6,era5,2.7,11.3,,open_meteo:era5,2026-09-22T08:49:25Z,open_meteo/2002/01/era5.2002-01-01.ndjson#era5:paute:-2.6:-78.6:2002-01-01:2002-12-31
2002-01-17,paute,-2.6,-78.6,era5,6.2,11.4,,open_meteo:era5,2026-09-22T08:49:25Z,open_meteo/2002/01/era5.2002-01-01.ndjson#era5:paute:-2.6:-78.6:2002-01-01:2002-12-31
2002-01-18,paute,-2.6,-78.6,era5,5,10.7,,open_meteo:era5,2026-09-22T08:49:25Z,open_meteo/2002/01/era5.2002-01-01.ndjson#era5:paute:-2.6:-78.6:2002-01-01:2002-12-31
2002-01-19,paute,-2.6,-78.6,era5,1.5,10.4,,open_meteo:era5,2026-09-22T08:49:25Z,open_meteo/2002/01/era5.2002-01-01.ndjson#era5:paute:-2.6:-78.6:2002-01-01:2002-12-31
2002-01-20,paute,-2.6,-78.6,era5,2.2,10.9,,open_meteo:era5,2026-09-22T08:49:25Z,open_meteo/2002/01/era5.2002-01-01.ndjson#era5:paute:-2.6:-78.6:2002-01-01:2002-12-31
2002-01-21,paute,-2.6,-78.6,era5,4.8,10.8,,open_meteo:era5,2026-09-22T08:49:25Z,open_meteo/2002/01/era5.2002-01-01.ndjson#era5:paute:-2.6:-78.6:2002-01-01:2002-12-31
2002-01-22,paute,-2.6,-78.6,era5,1.9,10.7,,open_meteo:era5,2026-09-22T08:49:25Z,open_meteo/2002/01/era5.2002-01-01.ndjson#era5:paute:-2.6:-78.6:2002-01-01:2002-12-31
2002-01-23,paute,-2.6,-78.6,era5,1.5,10.6,,open_meteo:era5,2026-09-22T08:49:25Z,open_meteo/2002/01/era5.2002-01-01.ndjson#era5:paute:-2.6:-78.6:2002-01-01:2002-12-31
2002-01-24,paute,-2.6,-78.6,era5,0.3,10.7,,open_meteo:era5,2026-09-22T08:49:25Z,open_meteo/2002/01/era5.2002-01-01.ndjson#era5:paute:-2.6:-78.6:2002-01-01:2002-12-31
2002-01-25,paute,-2.6,-78.6,era5,0.8,10.9,,open_meteo:era5,2026-09-22T08:49:25Z,open_meteo/2002/01/era5.2002-01-01.ndjson#era5:paute:-2.6:-78.6:2002-01-01:2002-12-31
2002-01-26,paute,-2.6,-78.6,era5,1.8,10.9,,open_meteo:era5,2026-09-22T08:49:25Z,open_meteo/2002/01/era5.2002-01-01.ndjson#era5:paute:-2.6:-78.6:2002-01-01:2002-12-31
2002-01-27,paute,-2.6,-78.6,era5,1.7,10.4,,open_meteo:era5,2026-09-22T08:49:25Z,open_meteo/2002/01/era5.2002-01-01.ndjson#era5:paute:-2.6:-78.6:2002-01-01:2002-12-31
2002-01-28,paute,-2.6,-78.6,era5,3.9,10.9,,open_meteo:era5,2026-09-22T08:49:25Z,open_meteo/2002/01/era5.2002-01-01.ndjson#era5:paute:-2.6:-78.6:2002-01-01:2002-12-31
2002-01-29,paute,-2.6,-78.6,era5,4.6,11,,open_meteo:era5,2026-09-22T08:49:25Z,open_meteo/2002/01/era5.2002-01-01.ndjson#era5:paute:-2.6:-78.6:2002-01-01:2002-12-31
2002-01-30,paute,-2.6,-78.6,era5,4.3,10.8,,open_meteo:era5,2026-09-22T08:49:25Z,open_meteo/2002/01/era5.2002-01-01.ndjson#era5:paute:-2.6:-78.6:2002-01-01:2002-12-31
2002-01-31,paute,-2.6,-78.6,era5,1.2,11.1,,open_meteo:era5,2026-09-22T08:49:25Z,open_meteo/2002/01/era5.2002-01-01.ndjson#era5:paute:-2.6:-78.6:2002-01-01:2002-12-31
2002-02-01,paute,-2.6,-78.6,era5,1.6,10.9,,open_meteo:era5,2026-09-22T08:49:25Z,open_meteo/2002/01/era5.2002-01-01.ndjson#era5:paute:-2.6:-78.6:2002-01-01:2002-12-31
2002-02-02,paute,-2.6,-78.6,era5,1.1,10.8,,open_meteo:era5,2026-09-22T08:49:25Z,open_meteo/2002/01/era5.2002-01-01.ndjson#era5:paute:-2.6:-78.6:2002-01-01:2002-12-31
2002-02-03,paute,-2.6,-78.6,era5,0.8,11.9,,open_meteo:era5,2026-09-22T08:49:25Z,open_meteo/2002/01/era5.2002-01-01.ndjson#era5:paute:-2.6:-78.6:2002-01-01:2002-12-31
2002-02-04,paute,-2.6,-78.6,era5,7.4,12.4,,open_meteo:era5,2026-09-22T08:49:25Z,open_meteo/2002/01/era5.2002-01-01.ndjson#era5:paute:-2.6:-78.6:2002-01-01:2002-12-31
2002-02-05,paute,-2.6,-78.6,era5,11.1,11.7,,open_meteo:era5,2026-09-22T08:49:25Z,open_meteo/2002/01/era5.2002-01-01.ndjson#era5:paute:-2.6:-78.6:2002-01-01:2002-12-31
2002-02-06,paute,-2.6,-78.6,era5,34.8,10.8,,open_meteo:era5,2026-09-22T08:49:25Z,open_meteo/2002/01/era5.2002-01-01.ndjson#era5:paute:-2.6:-78.6:2002-01-01:2002-12-31
2002-02-07,paute,-2.6,-78.6,era5,28.1,11.3,,open_meteo:era5,2026-09-22T08:49:25Z,open_meteo/2002/01/era5.2002-01-01.ndjson#era5:paute:-2.6:-78.6:2002-01-01:2002-12-31
2002-02-08,paute,-2.6,-78.6,era5,36.2,10.9,,open_meteo:era5,2026-09-22T08:49:25Z,open_meteo/2002/01/era5.2002-01-01.ndjson#era5:paute:-2.6:-78.6:2002-01-01:2002-12-31
2002-02-09,paute,-2.6,-78.6,era5,24.9,10.8,,open_meteo:era5,2026-09-22T08:49:25Z,open_meteo/2002/01/era5.2002-01-01.ndjson#era5:paute:-2.6:-78.6:2002-01-01:2002-12-31
2002-02-10,paute,-2.6,-78.6,era5,5.4,11.8,,open_meteo:era5,2026-09-22T08:49:25Z,open_meteo/2002/01/era5.2002-01-01.ndjson#era5:paute:-2.6:-78.6:2002-01-01:2002-12-31
2002-02-11,paute,-2.6,-78.6,era5,3.1,11.5,,open_meteo:era5,2026-09-22T08:49:25Z,open_meteo/2002/01/era5.2002-01-01.ndjson#era5:paute:-2.6:-78.6:2002-01-01:2002-12-31
2002-02-12,paute,-2.6,-78.6,era5,2.7,11.9,,open_meteo:era5,2026-09-22T08:49:25Z,open_meteo/2002/01/era5.2002-01-01.ndjson#era5:paute:-2.6:-78.6:2002-01-01:2002-12-31
2002-02-13,paute,-2.6,-78.6,era5,1.5,11.9,,open_meteo:era5,2026-09-22T08:49:25Z,open_meteo/2002/01/era5.2002-01-01.ndjson#era5:paute:-2.6:-78.6:2002-01-01:2002-12-31
2002-02-14,paute,-2.6,-78.6,era5,6.9,11.5,,open_meteo:era5,2026-09-22T08:49:25Z,open_meteo/2002/01/era5.2002-01-01.ndjson#era5:paute:-2.6:-78.6:2002-01-01:2002-12-31
2002-02-15,paute,-2.6,-78.6,era5,3.5,11.6,,open_meteo:era5,2026-09-22T08:49:25Z,open_meteo/2002/01/era5.2002-01-01.ndjson#era5:paute:-2.6:-78.6:2002-01-01:2002-12-31
2002-02-16,paute,-2.6,-78.6,era5,1.9,10.9,,open_meteo:era5,2026-09-22T08:49:25Z,open_meteo/2002/01/era5.2002-01-01.ndjson#era5:paute:-2.6:-78.6:2002-01-01:2002-12-31
2002-02-17,paute,-2.6,-78.6,era5,3.4,11.1,,open_meteo:era5,2026-09-22T08:49:25Z,open_meteo/2002/01/era5.2002-01-01.ndjson#era5:paute:-2.6:-78.6:2002-01-01:2002-12-31
2002-02-18,paute,-2.6,-78.6,era5,0.3,11.3,,open_meteo:era5,2026-09-22T08:49:25Z,open_meteo/2002/01/era5.2002-01-01.ndjson#era5:paute:-2.6:-78.6:2002-01-01:2002-12-31
2002-02-19,paute,-2.6,-78.6,era5,3.7,11.2,,open_meteo:era5,2026-09-22T08:49:25Z,open_meteo/2002/01/era5.2002-01-01.ndjson#era5:paute:-2.6:-78.6:2002-01-01:2002-12-31
2002-02-20,paute,-2.6,-78.6,era5,2.6,11.3,,open_meteo:era5,2026-09-22T08:49:25Z,open_meteo/2002/01/era5.2002-01-01.ndjson#era5:paute:-2.6:-78.6:2002-01-01:2002-12-31
2002-02-21,paute,-2.6,-78.6,era5,2.8,11.4,,open_meteo:era5,2026-09-22T08:49:25Z,open_meteo/2002/01/era5.2002-01-01.ndjson#era5:paute:-2.6:-78.6:2002-01-01:2002-12-31
2002-02-22,paute,-2.6,-78.6,era5,2.3,12,,open_meteo:era5,2026-09-22T08:49:25Z,open_meteo/2002/01/era5.2002-01-01.ndjson#era5:paute:-2.6:-78.6:2002-01-01:2002-12-31
2002-02-23,paute,-2.6,-78.6,era5,4.3,11.7,,open_meteo:era5,2026-09-22T08:49:25Z,open_meteo/2002/01/era5.2002-01-01.ndjson#era5:paute:-2.6:-78.6:2002-01-01:2002-12-31
2002-02-24,paute,-2.6,-78.6,era5,1.6,11.2,,open_meteo:era5,2026-09-22T08:49:25Z,open_meteo/2002/01/era5.2002-01-01.ndjson#era5:paute:-2.6:-78.6:2002-01-01:2002-12-31
2002-02-25,paute,-2.6,-78.6,era5,2.4,11.8,,open_meteo:era5,2026-09-22T08:49:25Z,open_meteo/2002/01/era5.2002-01-01.ndjson#era5:paute:-2.6:-78.6:2002-01-01:2002-12-31
2002-02-26,paute,-2.6,-78.6,era5,2,12.4,,open_meteo:era5,2026-09-22T08:49:25Z,open_meteo/2002/01/era5.2002-01-01.ndjson#era5:paute:-2.6:-78.6:2002-01-01:2002-12-31
2002-02-27,paute,-2.6,-78.6,era5,8.8,12.6,,open_meteo:era5,2026-09-22T08:49:25Z,open_meteo/2002/01/era5.2002-01-01.ndjson#era5:paute:-2.6:-78.6:2002-01-01:2002-12-31
2002-02-28,paute,-2.6,-78.6,era5,12.3,11.9,,open_meteo:era5,2026-09-22T08:49:25Z,open_meteo/2002/01/era5.2002-01-01.ndjson#era5:paute:-2.6:-78.6:2002-01-01:2002-12-31
2002-03-01,paute,-2.6,-78.6,era5,4.4,11,,open_meteo:era5,2026-09-22T08:49:25Z,open_meteo/2002/01/era5.2002-01-01.ndjson#era5:paute:-2.6:-78.6:2002-01-01:2002-12-31
2002-03-02,paute,-2.6,-78.6,era5,2.5,11,,open_meteo:era5,2026-09-22T08:49:25Z,open_meteo/2002/01/era5.2002-01-01.ndjson#era5:paute:-2.6:-78.6:2002-01-01:2002-12-31
2002-03-03,paute,-2.6,-78.6,era5,2,11.2,,open_meteo:era5,2026-09-22T08:49:25Z,open_meteo/2002/01/era5.2002-01-01.ndjson#era5:paute:-2.6:-78.6:2002-01-01:2002-12-31
2002-03-04,paute,-2.6,-78.6,era5,3.9,11.5,,open_meteo:era5,2026-09-22T08:49:25Z,open_meteo/2002/01/era5.2002-01-01.ndjson#era5:paute:-2.6:-78.6:2002-01-01:2002-12-31
2002-03-05,paute,-2.6,-78.6,era5,8.5,11.3,,open_meteo:era5,2026-09-22T08:49:25Z,open_meteo/2002/01/era5.2002-01-01.ndjson#era5:paute:-2.6:-78.6:2002-01-01:2002-12-31
2002-03-06,paute,-2.6,-78.6,era5,2.7,11.6,,open_meteo:era5,2026-09-22T08:49:25Z,open_meteo/2002/01/era5.2002-01-01.ndjson#era5:paute:-2.6:-78.6:2002-01-01:2002-12-31
2002-03-07,paute,-2.6,-78.6,era5,4.3,11.7,,open_meteo:era5,2026-09-22T08:49:25Z,open_meteo/2002/01/era5.2002-01-01.ndjson#era5:paute:-2.6:-78.6:2002-01-01:2002-12-31
2002-03-08,paute,-2.6,-78.6,era5,7,10.8,,open_meteo:era5,2026-09-22T08:49:25Z,open_meteo/2002/01/era5.2002-01-01.ndjson#era5:paute:-2.6:-78.6:2002-01-01:2002-12-31
