date,basin,latitude,longitude,kind,precip_mm,temp_mean_c,issued_at,source,fetched_at,raw_ref
2017-01-01,paute,-2.6,-78.6,era5,1.2,12.4,,open_meteo:era5,2026-09-22T08:49:42Z,open_meteo/2017/01/era5.ndjson.gz#era5:paute:-2.6:-78.6:2017-01-01:2017-12-31
2017-01-02,paute,-2.6,-78.6,era5,5.1,12.1,,open_meteo:era5,2026-09-22T08:49:42Z,open_meteo/2017/01/era5.ndjson.gz#era5:paute:-2.6:-78.6:2017-01-01:2017-12-31
2017-01-03,paute,-2.6,-78.6,era5,1.2,12.6,,open_meteo:era5,2026-09-22T08:49:42Z,open_meteo/2017/01/era5.ndjson.gz#era5:paute:-2.6:-78.6:2017-01-01:2017-12-31
2017-01-04,paute,-2.6,-78.6,era5,7.5,13.4,,open_meteo:era5,2026-09-22T08:49:42Z,open_meteo/2017/01/era5.ndjson.gz#era5:paute:-2.6:-78.6:2017-01-01:2017-12-31
2017-01-05,paute,-2.6,-78.6,era5,29.9,12.5,,open_meteo:era5,2026-09-22T08:49:42Z,open_meteo/2017/01/era5.ndjson.gz#era5:paute:-2.6:-78.6:2017-01-01:2017-12-31
2017-01-06,paute,-2.6,-78.6,era5,16,11.3,,open_meteo:era5,2026-09-22T08:49:42Z,open_meteo/2017/01/era5.ndjson.gz#era5:paute:-2.6:-78.6:2017-01-01:2017-12-31
2017-01-07,paute,-2.6,-78.6,era5,0.3,11.9,,open_meteo:era5,2026-09-22T08:49:42Z,open_meteo/2017/01/era5.ndjson.gz#era5:paute:-2.6:-78.6:2017-01-01:2017-12-31
2017-01-08,paute,-2.6,-78.6,era5,11.9,12.8,,open_meteo:era5,2026-09-22T08:49:42Z,open_meteo/2017/01/era5.ndjson.gz#era5:paute:-2.6:-78.6:2017-01-01:2017-12-31
2017-01-09,paute,-2.6,-78.6,era5,19.2,12.7,,open_meteo:era5,2026-09-22T08:49:42Z,open_meteo/2017/01/era5.ndjson.gz#era5:paute:-2.6:-78.6:2017-01-01:2017-12-31
2017-01-10,paute,-2.6,-78.6,era5,25.1,11.5,,open_meteo:era5,2026-09-22T08:49:42Z,open_meteo/2017/01/era5.ndjson.gz#era5:paute:-2.6:-78.6:2017-01-01:2017-12-31
