run_id,generated_at,origin_date,model_id,model_version,features_hash,usable_days,rejected_days,demand_fit_days,demand_growth_pct_per_year,hydro_fit_days,hydro_anomaly,thermal_gwh_day,import_gwh_day,stressed_import_gwh_day,other_gwh_day,backtest_origins
2026-09-20-adequacy-1-a7f87a2c,2026-09-22T17:03:51Z,2026-09-20,adequacy-v1,1,a7f87a2cb30e49e8,3723,57,1202,6.5972,3723,0.966009,25.831,10.779,0.122,1.132,99
2026-09-21-adequacy-1-06a49241,2026-09-23T02:37:12Z,2026-09-21,adequacy-v1,1,06a49241d00759c5,3724,57,1202,6.6005,3724,0.966143,25.831,10.779,0.122,1.132,99
2026-09-21-adequacy-1-3a236765,2026-09-22T19:49:06Z,2026-09-21,adequacy-v1,1,3a23676564566b73,3724,57,1202,6.6005,3724,0.966143,25.831,10.779,0.122,1.132,99
2026-09-21-adequacy-2-3722ef6f,2026-09-23T15:01:24Z,2026-09-21,adequacy-v1,2,3722ef6f6abe8f40,3724,57,1202,6.6005,3724,0.966143,25.831,10.779,0.122,1.132,99
2026-09-22-adequacy-2-b7e1956c,2026-09-23T19:53:40Z,2026-09-22,adequacy-v1,2,b7e1956c8144daef,3725,57,1202,6.6041,3725,0.964904,25.831,10.779,0.122,1.132,99
