site,river_id,month_day,horizon_days,first_year,last_year,median_m3s
manduriacu,670078161,02-04,7,1940,2023,569.322
minas_san_francisco,670027091,02-04,7,1940,2023,222.212
agoyan,621014469,02-05,7,1940,2023,398.159
manduriacu,670078161,02-05,7,1940,2023,574.568
minas_san_francisco,670027091,02-05,7,1940,2023,226.896
agoyan,621014469,02-06,7,1940,2023,388.736
manduriacu,670078161,02-06,7,1940,2023,572.516
minas_san_francisco,670027091,02-06,7,1940,2023,226.884
agoyan,621014469,02-07,7,1940,2023,378.424
manduriacu,670078161,02-07,7,1940,2023,568.281
minas_san_francisco,670027091,02-07,7,1940,2023,226.264
agoyan,621014469,02-08,7,1940,2023,378.967
manduriacu,670078161,02-08,7,1940,2023,555.377
minas_san_francisco,670027091,02-08,7,1940,2023,213.7
agoyan,621014469,02-09,7,1940,2023,377.025
manduriacu,670078161,02-09,7,1940,2023,576.305
minas_san_francisco,670027091,02-09,7,1940,2023,217.137
agoyan,621014469,02-10,7,1940,2023,362.639
manduriacu,670078161,02-10,7,1940,2023,569.074
minas_san_francisco,670027091,02-10,7,1940,2023,211.41
agoyan,621014469,02-11,7,1940,2023,374.911
manduriacu,670078161,02-11,7,1940,2023,559.346
minas_san_francisco,670027091,02-11,7,1940,2023,215.965
agoyan,621014469,02-12,7,1940,2023,366.514
manduriacu,670078161,02-12,7,1940,2023,538.077
minas_san_francisco,670027091,02-12,7,1940,2023,212.368
agoyan,621014469,02-13,7,1940,2023,358.101
manduriacu,670078161,02-13,7,1940,2023,535.853
minas_san_francisco,670027091,02-13,7,1940,2023,204.156
agoyan,621014469,02-14,7,1940,2023,371.546
manduriacu,670078161,02-14,7,1940,2023,541.522
minas_san_francisco,670027091,02-14,7,1940,2023,213.403
agoyan,621014469,02-15,7,1940,2023,369.146
manduriacu,670078161,02-15,7,1940,2023,553.861
minas_san_francisco,670027091,02-15,7,1940,2023,217.518
agoyan,621014469,02-16,7,1940,2023,381.256
manduriacu,670078161,02-16,7,1940,2023,546.682
minas_san_francisco,670027091,02-16,7,1940,2023,227.229
agoyan,621014469,02-17,7,1940,2023,381.013
manduriacu,670078161,02-17,7,1940,2023,539.468
minas_san_francisco,670027091,02-17,7,1940,2023,239.996
agoyan,621014469,02-18,7,1940,2023,391.39
manduriacu,670078161,02-18,7,1940,2023,550.455
minas_san_francisco,670027091,02-18,7,1940,2023,241.113
agoyan,621014469,02-19,7,1940,2023,394.055
manduriacu,670078161,02-19,7,1940,2023,565.758
minas_san_francisco,670027091,02-19,7,1940,2023,245.128
agoyan,621014469,02-20,7,1940,2023,410.169
manduriacu,670078161,02-20,7,1940,2023,579.682
minas_san_francisco,670027091,02-20,7,1940,2023,236.011
agoyan,621014469,02-21,7,1940,2023,432.833
manduriacu,670078161,02-21,7,1940,2023,565.641
minas_san_francisco,670027091,02-21,7,1940,2023,226.362
agoyan,621014469,02-22,7,1940,2023,442.733
manduriacu,670078161,02-22,7,1940,2023,578.303
minas_san_francisco,670027091,02-22,7,1940,2023,250.864
agoyan,621014469,02-23,7,1940,2023,434.059
manduriacu,670078161,02-23,7,1940,2023,586.733
minas_san_francisco,670027091,02-23,7,1940,2023,249.281
agoyan,621014469,02-24,7,1940,2023,444.712
manduriacu,670078161,02-24,7,1940,2023,591.187
minas_san_francisco,670027091,02-24,7,1940,2023,240.063
agoyan,621014469,02-25,7,1940,2023,437.872
manduriacu,670078161,02-25,7,1940,2023,587.184
minas_san_francisco,670027091,02-25,7,1940,2023,232.819
agoyan,621014469,02-26,7,1940,2023,432.943
manduriacu,670078161,02-26,7,1940,2023,577.953
minas_san_francisco,670027091,02-26,7,1940,2023,243.344
agoyan,621014469,02-27,7,1940,2023,428.675
manduriacu,670078161,02-27,7,1940,2023,583.021
minas_san_francisco,670027091,02-27,7,1940,2023,243.136
agoyan,621014469,02-28,7,1940,2023,425.683
manduriacu,670078161,02-28,7,1940,2023,582.144
minas_san_francisco,670027091,02-28,7,1940,2023,241.099
agoyan,621014469,03-01,7,1940,2023,433.819
manduriacu,670078161,03-01,7,1940,2023,598.604
minas_san_francisco,670027091,03-01,7,1940,2023,243.869
agoyan,621014469,03-02,7,1940,2023,445.502
manduriacu,670078161,03-02,7,1940,2023,577.365
minas_san_francisco,670027091,03-02,7,1940,2023,238.635
agoyan,621014469,03-03,7,1940,2023,455.802
manduriacu,670078161,03-03,7,1940,2023,593.107
minas_san_francisco,670027091,03-03,7,1940,2023,241.573
agoyan,621014469,03-04,7,1940,2023,458.89
manduriacu,670078161,03-04,7,1940,2023,586.713
minas_san_francisco,670027091,03-04,7,1940,2023,238.643
agoyan,621014469,03-05,7,1940,2023,455.605
manduriacu,670078161,03-05,7,1940,2023,600.393
minas_san_francisco,670027091,03-05,7,1940,2023,239.03
agoyan,621014469,03-06,7,1940,2023,459.396
manduriacu,670078161,03-06,7,1940,2023,610.147
minas_san_francisco,670027091,03-06,7,1940,2023,235.663
agoyan,621014469,03-07,7,1940,2023,451.817
manduriacu,670078161,03-07,7,1940,2023,601.626
minas_san_francisco,670027091,03-07,7,1940,2023,235.802
agoyan,621014469,03-08,7,1940,2023,438.887
manduriacu,670078161,03-08,7,1940,2023,600.776
minas_san_francisco,670027091,03-08,7,1940,2023,231.349
agoyan,621014469,03-09,7,1940,2023,444.162
manduriacu,670078161,03-09,7,1940,2023,617.493
minas_san_francisco,670027091,03-09,7,1940,2023,240.415
agoyan,621014469,03-10,7,1940,2023,450.576
manduriacu,670078161,03-10,7,1940,2023,603.12
minas_san_francisco,670027091,03-10,7,1940,2023,236.412
agoyan,621014469,03-11,7,1940,2023,445.826
manduriacu,670078161,03-11,7,1940,2023,601.25
minas_san_francisco,670027091,03-11,7,1940,2023,234.979
agoyan,621014469,03-12,7,1940,2023,449.112
manduriacu,670078161,03-12,7,1940,2023,608.983
minas_san_francisco,670027091,03-12,7,1940,2023,246.841
agoyan,621014469,03-13,7,1940,2023,463.192
manduriacu,670078161,03-13,7,1940,2023,601.701
minas_san_francisco,670027091,03-13,7,1940,2023,257.65
agoyan,621014469,03-14,7,1940,2023,471.263
manduriacu,670078161,03-14,7,1940,2023,609.165
minas_san_francisco,670027091,03-14,7,1940,2023,259.605
agoyan,621014469,03-15,7,1940,2023,484.801
manduriacu,670078161,03-15,7,1940,2023,602.66
minas_san_francisco,670027091,03-15,7,1940,2023,253.858
agoyan,621014469,03-16,7,1940,2023,481.117
manduriacu,670078161,03-16,7,1940,2023,618.812
minas_san_francisco,670027091,03-16,7,1940,2023,240.344
agoyan,621014469,03-17,7,1940,2023,480.595
manduriacu,670078161,03-17,7,1940,2023,613.407
minas_san_francisco,670027091,03-17,7,1940,2023,238.963
agoyan,621014469,03-18,7,1940,2023,489.188
manduriacu,670078161,03-18,7,1940,2023,625.652
minas_san_francisco,670027091,03-18,7,1940,2023,235.715
agoyan,621014469,03-19,7,1940,2023,484.836
manduriacu,670078161,03-19,7,1940,2023,617.737
