site,basin,river_id,vpu,downstream_river_id,river_lat,river_lon,distance_km,catchment_km2,upstream_km2,downstream_km2,area_diff_pct,q2_m3s,q5_m3s,q10_m3s,q25_m3s,q50_m3s,q100_m3s,q2_hourly_m3s,q5_hourly_m3s,q10_hourly_m3s,q25_hourly_m3s,q50_hourly_m3s,q100_hourly_m3s,max_simulated_m3s,sim_days,sim_ratio,sim_r,sim_r_monthly,sim_kge,sim_p50_ratio,sim_p99_ratio,store_revision,store_revision_date,license,retrieved_on
mazar,paute,620988388,605,620989764,-2.58889,-78.61256,0.95,4418.1,4357.2,4359,-1.34,614.8,808.6,936.9,1099,1219.3,1338.7,693.2,919.4,1069.2,1258.4,1398.8,1538.2,1937.2,6060,1.953,0.233,0.286,-0.297,2.227,1.288,4,2026-06-10,CC-BY-NC-SA 4.0,2026-09-25
coca_codo_sinclair,coca,620922213,605,620882307,-0.16533,-77.649,5.18,3727.3,3677.1,3697.2,-0.81,1225.4,1486.8,1659.9,1878.5,2040.8,2201.8,1357.7,1637.6,1822.9,2057,2230.7,2403.1,2104.7,3717,1.038,0.183,0.272,0.18,1.118,1.018,4,2026-06-10,CC-BY-NC-SA 4.0,2026-09-25
agoyan,pastaza,621014469,605,621015845,-1.39989,-78.35111,2.25,8242.4,8144.3,8148.9,-1.13,998.3,1261,1435,1654.8,1817.9,1979.7,1086.6,1372.3,1561.5,1800.5,1977.8,2153.8,2387.8,3714,2.728,0.158,0.144,-1.314,2.896,2.095,4,2026-06-10,CC-BY-NC-SA 4.0,2026-09-25
manduriacu,guayllabamba,670078161,614,670094546,0.204,-78.94789,3.71,6969.3,7006.1,7012.4,0.62,1582.7,1890.4,2094.1,2351.5,2542.5,2732,1796,2177.6,2430.2,2749.5,2986.3,3221.4,3338.1,3305,2.842,0.673,0.875,-1.218,2.995,2.392,4,2026-06-10,CC-BY-NC-SA 4.0,2026-09-25
marcel_laniado,daule,670095610,614,670095612,-0.95522,-79.77333,2.22,4196.7,4153.2,4164.9,-0.76,1558.1,2305.5,2800.3,3425.6,3889.4,4349.8,1738,2552.8,3092.3,3774,4279.7,4781.7,4615.9,,,,,,,,4,2026-06-10,CC-BY-NC-SA 4.0,2026-09-25
minas_san_francisco,jubones,670027091,614,670028115,-3.31078,-79.51189,3.26,3344.6,3318.7,3332.9,-0.35,697.6,940.5,1101.3,1304.5,1455.2,1604.9,915.4,1232.4,1442.3,1707.5,1904.2,2099.5,2412.6,2901,2.766,0.526,0.755,-1.015,3.451,1.751,4,2026-06-10,CC-BY-NC-SA 4.0,2026-09-25
delsitanisagua,zamora,620922413,605,620930672,-4.01878,-79.01822,4.17,1137,1115.1,1149.1,1.07,184.3,253.1,298.7,356.2,398.9,441.3,239,328.3,387.3,462,517.4,572.3,641.4,2942,0.752,0.225,0.311,0.182,0.658,0.836,4,2026-06-10,CC-BY-NC-SA 4.0,2026-09-25
