date,site,variable,value,source,mrid,fetched_at,raw_ref
2016-01-01,amaluza,caudal_m3s,71,ords:repDiaHid12m,,2026-09-22T01:12:34Z,celec_ords/2016/09/repDiaHid12m.ndjson.gz#repDiaHid12m:2016-09-20
2016-01-01,amaluza,cota_masl,1987.1,ords:repDiaHid12m,,2026-09-22T01:12:34Z,celec_ords/2016/09/repDiaHid12m.ndjson.gz#repDiaHid12m:2016-09-20
2016-01-01,mazar,caudal_m3s,47,ords:repDiaHid12m,,2026-09-22T01:12:34Z,celec_ords/2016/09/repDiaHid12m.ndjson.gz#repDiaHid12m:2016-09-20
2016-01-01,mazar,cota_masl,2145.01,ords:repDiaHid12m,,2026-09-22T01:12:34Z,celec_ords/2016/09/repDiaHid12m.ndjson.gz#repDiaHid12m:2016-09-20
2016-01-02,amaluza,caudal_m3s,104,ords:repDiaHid12m,,2026-09-22T01:12:34Z,celec_ords/2016/09/repDiaHid12m.ndjson.gz#repDiaHid12m:2016-09-20
2016-01-02,amaluza,cota_masl,1987.22,ords:repDiaHid12m,,2026-09-22T01:12:34Z,celec_ords/2016/09/repDiaHid12m.ndjson.gz#repDiaHid12m:2016-09-20
2016-01-02,mazar,caudal_m3s,22,ords:repDiaHid12m,,2026-09-22T01:12:34Z,celec_ords/2016/09/repDiaHid12m.ndjson.gz#repDiaHid12m:2016-09-20
2016-01-02,mazar,cota_masl,2144.97,ords:repDiaHid12m,,2026-09-22T01:12:34Z,celec_ords/2016/09/repDiaHid12m.ndjson.gz#repDiaHid12m:2016-09-20
2016-01-03,amaluza,caudal_m3s,99,ords:repDiaHid12m,,2026-09-22T01:12:34Z,celec_ords/2016/09/repDiaHid12m.ndjson.gz#repDiaHid12m:2016-09-20
2016-01-03,amaluza,cota_masl,1987.31,ords:repDiaHid12m,,2026-09-22T01:12:34Z,celec_ords/2016/09/repDiaHid12m.ndjson.gz#repDiaHid12m:2016-09-20
2016-01-03,mazar,caudal_m3s,28,ords:repDiaHid12m,,2026-09-22T01:12:34Z,celec_ords/2016/09/repDiaHid12m.ndjson.gz#repDiaHid12m:2016-09-20
