date,site,variable,value,source,mrid,fetched_at,raw_ref
2021-01-01,amaluza,caudal_m3s,14,ords:repDiaHid12m,,2026-09-22T01:12:41Z,celec_ords/2021/09/repDiaHid12m.ndjson.gz#repDiaHid12m:2021-09-20
2021-01-01,amaluza,cota_masl,1983.62,ords:repDiaHid12m,,2026-09-22T01:12:41Z,celec_ords/2021/09/repDiaHid12m.ndjson.gz#repDiaHid12m:2021-09-20
2021-01-01,delsitanisagua,caudal_m3s,25,ords:repDiaHid12m,,2026-09-22T01:12:41Z,celec_ords/2021/09/repDiaHid12m.ndjson.gz#repDiaHid12m:2021-09-20
2021-01-01,delsitanisagua,cota_masl,1488.62,ords:repDiaHid12m,,2026-09-22T01:12:41Z,celec_ords/2021/09/repDiaHid12m.ndjson.gz#repDiaHid12m:2021-09-20
2021-01-01,mazar,caudal_m3s,39,ords:repDiaHid12m,,2026-09-22T01:12:41Z,celec_ords/2021/09/repDiaHid12m.ndjson.gz#repDiaHid12m:2021-09-20
2021-01-01,mazar,cota_masl,2141.31,ords:repDiaHid12m,,2026-09-22T01:12:41Z,celec_ords/2021/09/repDiaHid12m.ndjson.gz#repDiaHid12m:2021-09-20
2021-01-01,minas_san_francisco,caudal_m3s,35,ords:repDiaHid12m,,2026-09-22T01:12:41Z,celec_ords/2021/09/repDiaHid12m.ndjson.gz#repDiaHid12m:2021-09-20
2021-01-01,minas_san_francisco,cota_masl,791.02,ords:repDiaHid12m,,2026-09-22T01:12:41Z,celec_ords/2021/09/repDiaHid12m.ndjson.gz#repDiaHid12m:2021-09-20
2021-01-02,amaluza,caudal_m3s,65,ords:repDiaHid12m,,2026-09-22T01:12:41Z,celec_ords/2021/09/repDiaHid12m.ndjson.gz#repDiaHid12m:2021-09-20
2021-01-02,amaluza,cota_masl,1983.8,ords:repDiaHid12m,,2026-09-22T01:12:41Z,celec_ords/2021/09/repDiaHid12m.ndjson.gz#repDiaHid12m:2021-09-20
2021-01-02,delsitanisagua,caudal_m3s,28,ords:repDiaHid12m,,2026-09-22T01:12:41Z,celec_ords/2021/09/repDiaHid12m.ndjson.gz#repDiaHid12m:2021-09-20
2021-01-02,delsitanisagua,cota_masl,1491.03,ords:repDiaHid12m,,2026-09-22T01:12:41Z,celec_ords/2021/09/repDiaHid12m.ndjson.gz#repDiaHid12m:2021-09-20
2021-01-02,mazar,caudal_m3s,48,ords:repDiaHid12m,,2026-09-22T01:12:41Z,celec_ords/2021/09/repDiaHid12m.ndjson.gz#repDiaHid12m:2021-09-20
2021-01-02,mazar,cota_masl,2141.54,ords:repDiaHid12m,,2026-09-22T01:12:41Z,celec_ords/2021/09/repDiaHid12m.ndjson.gz#repDiaHid12m:2021-09-20
2021-01-02,minas_san_francisco,caudal_m3s,34,ords:repDiaHid12m,,2026-09-22T01:12:41Z,celec_ords/2021/09/repDiaHid12m.ndjson.gz#repDiaHid12m:2021-09-20
2021-01-02,minas_san_francisco,cota_masl,791.19,ords:repDiaHid12m,,2026-09-22T01:12:41Z,celec_ords/2021/09/repDiaHid12m.ndjson.gz#repDiaHid12m:2021-09-20
2021-01-03,amaluza,caudal_m3s,123,ords:repDiaHid12m,,2026-09-22T01:12:41Z,celec_ords/2021/09/repDiaHid12m.ndjson.gz#repDiaHid12m:2021-09-20
2021-01-03,amaluza,cota_masl,1984.58,ords:repDiaHid12m,,2026-09-22T01:12:41Z,celec_ords/2021/09/repDiaHid12m.ndjson.gz#repDiaHid12m:2021-09-20
2021-01-03,delsitanisagua,caudal_m3s,24,ords:repDiaHid12m,,2026-09-22T01:12:41Z,celec_ords/2021/09/repDiaHid12m.ndjson.gz#repDiaHid12m:2021-09-20
2021-01-03,delsitanisagua,cota_masl,1490.92,ords:repDiaHid12m,,2026-09-22T01:12:41Z,celec_ords/2021/09/repDiaHid12m.ndjson.gz#repDiaHid12m:2021-09-20
2021-01-03,mazar,caudal_m3s,48,ords:repDiaHid12m,,2026-09-22T01:12:41Z,celec_ords/2021/09/repDiaHid12m.ndjson.gz#repDiaHid12m:2021-09-20
2021-01-03,mazar,cota_masl,2141.71,ords:repDiaHid12m,,2026-09-22T01:12:41Z,celec_ords/2021/09/repDiaHid12m.ndjson.gz#repDiaHid12m:2021-09-20
2021-01-03,minas_san_francisco,caudal_m3s,33,ords:repDiaHid12m,,2026-09-22T01:12:41Z,celec_ords/2021/09/repDiaHid12m.ndjson.gz#repDiaHid12m:2021-09-20
2021-01-03,minas_san_francisco,cota_masl,791.22,ords:repDiaHid12m,,2026-09-22T01:12:41Z,celec_ords/2021/09/repDiaHid12m.ndjson.gz#repDiaHid12m:2021-09-20
2021-01-04,amaluza,caudal_m3s,94,ords:repDiaHid12m,,2026-09-22T01:12:41Z,celec_ords/2021/09/repDiaHid12m.ndjson.gz#repDiaHid12m:2021-09-20
2021-01-04,amaluza,cota_masl,1984.48,ords:repDiaHid12m,,2026-09-22T01:12:41Z,celec_ords/2021/09/repDiaHid12m.ndjson.gz#repDiaHid12m:2021-09-20
2021-01-04,delsitanisagua,caudal_m3s,25,ords:repDiaHid12m,,2026-09-22T01:12:41Z,celec_ords/2021/09/repDiaHid12m.ndjson.gz#repDiaHid12m:2021-09-20
2021-01-04,delsitanisagua,cota_masl,1490.9,ords:repDiaHid12m,,2026-09-22T01:12:41Z,celec_ords/2021/09/repDiaHid12m.ndjson.gz#repDiaHid12m:2021-09-20
2021-01-04,mazar,caudal_m3s,101,ords:repDiaHid12m,,2026-09-22T01:12:41Z,celec_ords/2021/09/repDiaHid12m.ndjson.gz#repDiaHid12m:2021-09-20
2021-01-04,mazar,cota_masl,2142.13,ords:repDiaHid12m,,2026-09-22T01:12:41Z,celec_ords/2021/09/repDiaHid12m.ndjson.gz#repDiaHid12m:2021-09-20
2021-01-04,minas_san_francisco,caudal_m3s,32,ords:repDiaHid12m,,2026-09-22T01:12:41Z,celec_ords/2021/09/repDiaHid12m.ndjson.gz#repDiaHid12m:2021-09-20
2021-01-04,minas_san_francisco,cota_masl,790.9,ords:repDiaHid12m,,2026-09-22T01:12:41Z,celec_ords/2021/09/repDiaHid12m.ndjson.gz#repDiaHid12m:2021-09-20
2021-01-05,amaluza,caudal_m3s,46,ords:repDiaHid12m,,2026-09-22T01:12:41Z,celec_ords/2021/09/repDiaHid12m.ndjson.gz#repDiaHid12m:2021-09-20
2021-01-05,amaluza,cota_masl,1984.7,ords:repDiaHid12m,,2026-09-22T01:12:41Z,celec_ords/2021/09/repDiaHid12m.ndjson.gz#repDiaHid12m:2021-09-20
2021-01-05,delsitanisagua,caudal_m3s,26,ords:repDiaHid12m,,2026-09-22T01:12:41Z,celec_ords/2021/09/repDiaHid12m.ndjson.gz#repDiaHid12m:2021-09-20
2021-01-05,delsitanisagua,cota_masl,1490.43,ords:repDiaHid12m,,2026-09-22T01:12:41Z,celec_ords/2021/09/repDiaHid12m.ndjson.gz#repDiaHid12m:2021-09-20
2021-01-05,mazar,caudal_m3s,59,ords:repDiaHid12m,,2026-09-22T01:12:41Z,celec_ords/2021/09/repDiaHid12m.ndjson.gz#repDiaHid12m:2021-09-20
2021-01-05,mazar,cota_masl,2142.36,ords:repDiaHid12m,,2026-09-22T01:12:41Z,celec_ords/2021/09/repDiaHid12m.ndjson.gz#repDiaHid12m:2021-09-20
2021-01-05,minas_san_francisco,caudal_m3s,36,ords:repDiaHid12m,,2026-09-22T01:12:41Z,celec_ords/2021/09/repDiaHid12m.ndjson.gz#repDiaHid12m:2021-09-20
2021-01-05,minas_san_francisco,cota_masl,790.83,ords:repDiaHid12m,,2026-09-22T01:12:41Z,celec_ords/2021/09/repDiaHid12m.ndjson.gz#repDiaHid12m:2021-09-20
2021-01-06,amaluza,caudal_m3s,77,ords:repDiaHid12m,,2026-09-22T01:12:41Z,celec_ords/2021/09/repDiaHid12m.ndjson.gz#repDiaHid12m:2021-09-20
2021-01-06,amaluza,cota_masl,1984.4,ords:repDiaHid12m,,2026-09-22T01:12:41Z,celec_ords/2021/09/repDiaHid12m.ndjson.gz#repDiaHid12m:2021-09-20
2021-01-06,delsitanisagua,caudal_m3s,27,ords:repDiaHid12m,,2026-09-22T01:12:41Z,celec_ords/2021/09/repDiaHid12m.ndjson.gz#repDiaHid12m:2021-09-20
2021-01-06,delsitanisagua,cota_masl,1490.83,ords:repDiaHid12m,,2026-09-22T01:12:41Z,celec_ords/2021/09/repDiaHid12m.ndjson.gz#repDiaHid12m:2021-09-20
2021-01-06,mazar,caudal_m3s,63,ords:repDiaHid12m,,2026-09-22T01:12:41Z,celec_ords/2021/09/repDiaHid12m.ndjson.gz#repDiaHid12m:2021-09-20
2021-01-06,mazar,cota_masl,2142.78,ords:repDiaHid12m,,2026-09-22T01:12:41Z,celec_ords/2021/09/repDiaHid12m.ndjson.gz#repDiaHid12m:2021-09-20
2021-01-06,minas_san_francisco,caudal_m3s,38,ords:repDiaHid12m,,2026-09-22T01:12:41Z,celec_ords/2021/09/repDiaHid12m.ndjson.gz#repDiaHid12m:2021-09-20
2021-01-06,minas_san_francisco,cota_masl,789.63,ords:repDiaHid12m,,2026-09-22T01:12:41Z,celec_ords/2021/09/repDiaHid12m.ndjson.gz#repDiaHid12m:2021-09-20
2021-01-07,amaluza,caudal_m3s,89,ords:repDiaHid12m,,2026-09-22T01:12:41Z,celec_ords/2021/09/repDiaHid12m.ndjson.gz#repDiaHid12m:2021-09-20
2021-01-07,amaluza,cota_masl,1985.02,ords:repDiaHid12m,,2026-09-22T01:12:41Z,celec_ords/2021/09/repDiaHid12m.ndjson.gz#repDiaHid12m:2021-09-20
2021-01-07,delsitanisagua,caudal_m3s,23,ords:repDiaHid12m,,2026-09-22T01:12:41Z,celec_ords/2021/09/repDiaHid12m.ndjson.gz#repDiaHid12m:2021-09-20
2021-01-07,delsitanisagua,cota_masl,1490.63,ords:repDiaHid12m,,2026-09-22T01:12:41Z,celec_ords/2021/09/repDiaHid12m.ndjson.gz#repDiaHid12m:2021-09-20
2021-01-07,mazar,caudal_m3s,40,ords:repDiaHid12m,,2026-09-22T01:12:41Z,celec_ords/2021/09/repDiaHid12m.ndjson.gz#repDiaHid12m:2021-09-20
2021-01-07,mazar,cota_masl,2142.78,ords:repDiaHid12m,,2026-09-22T01:12:41Z,celec_ords/2021/09/repDiaHid12m.ndjson.gz#repDiaHid12m:2021-09-20
2021-01-07,minas_san_francisco,caudal_m3s,39,ords:repDiaHid12m,,2026-09-22T01:12:41Z,celec_ords/2021/09/repDiaHid12m.ndjson.gz#repDiaHid12m:2021-09-20
2021-01-07,minas_san_francisco,cota_masl,790.09,ords:repDiaHid12m,,2026-09-22T01:12:41Z,celec_ords/2021/09/repDiaHid12m.ndjson.gz#repDiaHid12m:2021-09-20
2021-01-08,amaluza,caudal_m3s,44,ords:repDiaHid12m,,2026-09-22T01:12:41Z,celec_ords/2021/09/repDiaHid12m.ndjson.gz#repDiaHid12m:2021-09-20
2021-01-08,amaluza,cota_masl,1985.41,ords:repDiaHid12m,,2026-09-22T01:12:41Z,celec_ords/2021/09/repDiaHid12m.ndjson.gz#repDiaHid12m:2021-09-20
2021-01-08,delsitanisagua,caudal_m3s,24,ords:repDiaHid12m,,2026-09-22T01:12:41Z,celec_ords/2021/09/repDiaHid12m.ndjson.gz#repDiaHid12m:2021-09-20
2021-01-08,delsitanisagua,cota_masl,1490.53,ords:repDiaHid12m,,2026-09-22T01:12:41Z,celec_ords/2021/09/repDiaHid12m.ndjson.gz#repDiaHid12m:2021-09-20
2021-01-08,mazar,caudal_m3s,29,ords:repDiaHid12m,,2026-09-22T01:12:41Z,celec_ords/2021/09/repDiaHid12m.ndjson.gz#repDiaHid12m:2021-09-20
2021-01-08,mazar,cota_masl,2142.68,ords:repDiaHid12m,,2026-09-22T01:12:41Z,celec_ords/2021/09/repDiaHid12m.ndjson.gz#repDiaHid12m:2021-09-20
2021-01-08,minas_san_francisco,caudal_m3s,37,ords:repDiaHid12m,,2026-09-22T01:12:41Z,celec_ords/2021/09/repDiaHid12m.ndjson.gz#repDiaHid12m:2021-09-20
2021-01-08,minas_san_francisco,cota_masl,789.44,ords:repDiaHid12m,,2026-09-22T01:12:41Z,celec_ords/2021/09/repDiaHid12m.ndjson.gz#repDiaHid12m:2021-09-20
2021-01-09,amaluza,caudal_m3s,76,ords:repDiaHid12m,,2026-09-22T01:12:41Z,celec_ords/2021/09/repDiaHid12m.ndjson.gz#repDiaHid12m:2021-09-20
2021-01-09,amaluza,cota_masl,1984.87,ords:repDiaHid12m,,2026-09-22T01:12:41Z,celec_ords/2021/09/repDiaHid12m.ndjson.gz#repDiaHid12m:2021-09-20
2021-01-09,delsitanisagua,caudal_m3s,23,ords:repDiaHid12m,,2026-09-22T01:12:41Z,celec_ords/2021/09/repDiaHid12m.ndjson.gz#repDiaHid12m:2021-09-20
2021-01-09,delsitanisagua,cota_masl,1490.74,ords:repDiaHid12m,,2026-09-22T01:12:41Z,celec_ords/2021/09/repDiaHid12m.ndjson.gz#repDiaHid12m:2021-09-20
2021-01-09,mazar,caudal_m3s,41,ords:repDiaHid12m,,2026-09-22T01:12:41Z,celec_ords/2021/09/repDiaHid12m.ndjson.gz#repDiaHid12m:2021-09-20
2021-01-09,mazar,cota_masl,2142.76,ords:repDiaHid12m,,2026-09-22T01:12:41Z,celec_ords/2021/09/repDiaHid12m.ndjson.gz#repDiaHid12m:2021-09-20
2021-01-09,minas_san_francisco,caudal_m3s,33,ords:repDiaHid12m,,2026-09-22T01:12:41Z,celec_ords/2021/09/repDiaHid12m.ndjson.gz#repDiaHid12m:2021-09-20
