date,site,variable,value,source,mrid,fetched_at,raw_ref
2014-07-04,mazar,caudal_m3s,36.827831,ords:pointValues,30538,2026-09-22T13:54:05Z,celec_ords/2014/07/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-07-01
2014-07-05,mazar,caudal_m3s,66.65599,ords:pointValues,30538,2026-09-22T13:54:05Z,celec_ords/2014/07/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-07-01
2014-07-06,mazar,caudal_m3s,54.900698,ords:pointValues,30538,2026-09-22T13:54:05Z,celec_ords/2014/07/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-07-01
2014-07-07,mazar,caudal_m3s,259.425228,ords:pointValues,30538,2026-09-22T13:54:05Z,celec_ords/2014/07/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-07-01
2014-07-08,mazar,caudal_m3s,138.511424,ords:pointValues,30538,2026-09-22T13:54:05Z,celec_ords/2014/07/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-07-01
2014-07-09,mazar,caudal_m3s,78.57964,ords:pointValues,30538,2026-09-22T13:54:05Z,celec_ords/2014/07/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-07-01
2014-07-10,mazar,caudal_m3s,87.307209,ords:pointValues,30538,2026-09-22T13:54:05Z,celec_ords/2014/07/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-07-01
2014-07-11,mazar,caudal_m3s,68.233333,ords:pointValues,30538,2026-09-22T13:54:05Z,celec_ords/2014/07/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-07-01
2014-07-12,mazar,caudal_m3s,64.82575,ords:pointValues,30538,2026-09-22T13:54:05Z,celec_ords/2014/07/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-07-01
2014-07-13,mazar,caudal_m3s,53.340633,ords:pointValues,30538,2026-09-22T13:54:05Z,celec_ords/2014/07/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-07-01
2014-07-14,mazar,caudal_m3s,311.160375,ords:pointValues,30538,2026-09-22T13:54:05Z,celec_ords/2014/07/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-07-01
2014-07-15,mazar,caudal_m3s,126.040661,ords:pointValues,30538,2026-09-22T13:54:05Z,celec_ords/2014/07/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-07-01
2014-07-16,mazar,caudal_m3s,130.991482,ords:pointValues,30538,2026-09-22T13:54:05Z,celec_ords/2014/07/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-07-01
2014-07-17,mazar,caudal_m3s,222.453269,ords:pointValues,30538,2026-09-22T13:54:05Z,celec_ords/2014/07/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-07-01
2014-07-18,mazar,caudal_m3s,126.029487,ords:pointValues,30538,2026-09-22T13:54:05Z,celec_ords/2014/07/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-07-01
2014-07-19,mazar,caudal_m3s,130.167408,ords:pointValues,30538,2026-09-22T13:54:05Z,celec_ords/2014/07/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-07-01
2014-07-20,mazar,caudal_m3s,316.851727,ords:pointValues,30538,2026-09-22T13:54:05Z,celec_ords/2014/07/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-07-01
2014-07-21,mazar,caudal_m3s,209.919931,ords:pointValues,30538,2026-09-22T13:54:05Z,celec_ords/2014/07/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-07-01
2014-07-22,mazar,caudal_m3s,103.737192,ords:pointValues,30538,2026-09-22T13:54:05Z,celec_ords/2014/07/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-07-01
2014-07-23,mazar,caudal_m3s,92.597333,ords:pointValues,30538,2026-09-22T13:54:05Z,celec_ords/2014/07/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-07-01
2014-07-24,mazar,caudal_m3s,101.969948,ords:pointValues,30538,2026-09-22T13:54:05Z,celec_ords/2014/07/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-07-01
2014-07-25,mazar,caudal_m3s,173.959681,ords:pointValues,30538,2026-09-22T13:54:05Z,celec_ords/2014/07/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-07-01
2014-07-26,mazar,caudal_m3s,70.634194,ords:pointValues,30538,2026-09-22T13:54:05Z,celec_ords/2014/07/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-07-01
2014-07-27,mazar,caudal_m3s,89.489064,ords:pointValues,30538,2026-09-22T13:54:05Z,celec_ords/2014/07/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-07-01
2014-07-28,mazar,caudal_m3s,183.601262,ords:pointValues,30538,2026-09-22T13:54:05Z,celec_ords/2014/07/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-07-01
2014-07-29,mazar,caudal_m3s,95.1257,ords:pointValues,30538,2026-09-22T13:54:05Z,celec_ords/2014/07/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-07-01
2014-07-30,mazar,caudal_m3s,72.916439,ords:pointValues,30538,2026-09-22T13:54:05Z,celec_ords/2014/07/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-07-01
2014-07-31,mazar,caudal_m3s,70.900789,ords:pointValues,30538,2026-09-22T13:54:05Z,celec_ords/2014/07/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-07-01
2014-08-01,mazar,caudal_m3s,49.101657,ords:pointValues,30538,2026-09-22T13:54:04Z,celec_ords/2014/08/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-08-01
2014-08-02,mazar,caudal_m3s,41.077781,ords:pointValues,30538,2026-09-22T13:54:04Z,celec_ords/2014/08/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-08-01
2014-08-03,mazar,caudal_m3s,45.829617,ords:pointValues,30538,2026-09-22T13:54:04Z,celec_ords/2014/08/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-08-01
