date,site,variable,value,source,mrid,fetched_at,raw_ref
2012-01-01,mazar,caudal_m3s,70.418,ords:pointValues,30538,2026-09-22T13:54:40Z,celec_ords/2012/01/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2012-01-01
2012-01-01,paute_cuenca,caudal_cuenca_m3s,126.847783,ords:csrCaudCuenAniosAvg,,2026-09-22T01:29:05Z,celec_ords/2027/01/csrCaudCuenAniosAvg.ndjson.gz#csrCaudCuenAniosAvg:2010-01-01:2027-01-01
2012-01-02,mazar,caudal_m3s,76.814,ords:pointValues,30538,2026-09-22T13:54:40Z,celec_ords/2012/01/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2012-01-01
2012-01-03,mazar,caudal_m3s,112.014,ords:pointValues,30538,2026-09-22T13:54:40Z,celec_ords/2012/01/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2012-01-01
2012-01-04,mazar,caudal_m3s,168.714,ords:pointValues,30538,2026-09-22T13:54:40Z,celec_ords/2012/01/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2012-01-01
2012-01-05,mazar,caudal_m3s,274.377,ords:pointValues,30538,2026-09-22T13:54:40Z,celec_ords/2012/01/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2012-01-01
2012-01-06,mazar,caudal_m3s,238.318,ords:pointValues,30538,2026-09-22T13:54:40Z,celec_ords/2012/01/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2012-01-01
2012-01-07,mazar,caudal_m3s,246.222,ords:pointValues,30538,2026-09-22T13:54:40Z,celec_ords/2012/01/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2012-01-01
2012-01-08,mazar,caudal_m3s,194.773,ords:pointValues,30538,2026-09-22T13:54:40Z,celec_ords/2012/01/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2012-01-01
2012-01-09,mazar,caudal_m3s,123.204,ords:pointValues,30538,2026-09-22T13:54:40Z,celec_ords/2012/01/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2012-01-01
2012-01-10,mazar,caudal_m3s,165.253,ords:pointValues,30538,2026-09-22T13:54:40Z,celec_ords/2012/01/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2012-01-01
