date,site,variable,value,source,mrid,fetched_at,raw_ref
2026-01-01,amaluza,caudal_m3s,23,ords:repDiaHid12m,,2026-09-22T01:19:53Z,celec_ords/2026/09/repDiaHid12m.ndjson.gz#repDiaHid12m:2026-09-20
2026-01-01,amaluza,cota_masl,1987.57,ords:repDiaHid12m,,2026-09-22T01:19:53Z,celec_ords/2026/09/repDiaHid12m.ndjson.gz#repDiaHid12m:2026-09-20
2026-01-01,delsitanisagua,caudal_m3s,57,ords:repDiaHid12m,,2026-09-22T01:19:53Z,celec_ords/2026/09/repDiaHid12m.ndjson.gz#repDiaHid12m:2026-09-20
2026-01-01,delsitanisagua,cota_masl,1490.84,ords:repDiaHid12m,,2026-09-22T01:19:53Z,celec_ords/2026/09/repDiaHid12m.ndjson.gz#repDiaHid12m:2026-09-20
2026-01-01,mazar,caudal_m3s,77,ords:repDiaHid12m,,2026-09-22T01:19:53Z,celec_ords/2026/09/repDiaHid12m.ndjson.gz#repDiaHid12m:2026-09-20
2026-01-01,mazar,cota_masl,2140.13,ords:repDiaHid12m,,2026-09-22T01:19:53Z,celec_ords/2026/09/repDiaHid12m.ndjson.gz#repDiaHid12m:2026-09-20
2026-01-01,minas_san_francisco,caudal_m3s,11,ords:repDiaHid12m,,2026-09-22T01:19:53Z,celec_ords/2026/09/repDiaHid12m.ndjson.gz#repDiaHid12m:2026-09-20
2026-01-01,minas_san_francisco,cota_masl,787.21,ords:repDiaHid12m,,2026-09-22T01:19:53Z,celec_ords/2026/09/repDiaHid12m.ndjson.gz#repDiaHid12m:2026-09-20
2026-01-01,paute_cuenca,caudal_cuenca_m3s,112.731978,ords:csrCaudCuenAniosAvg,,2026-09-22T01:19:01Z,celec_ords/2027/01/csrCaudCuenAniosAvg.ndjson.gz#csrCaudCuenAniosAvg:2010-01-01:2027-01-01
2026-01-02,amaluza,caudal_m3s,70,ords:repDiaHid12m,,2026-09-22T01:19:53Z,celec_ords/2026/09/repDiaHid12m.ndjson.gz#repDiaHid12m:2026-09-20
2026-01-02,amaluza,cota_masl,1987.73,ords:repDiaHid12m,,2026-09-22T01:19:53Z,celec_ords/2026/09/repDiaHid12m.ndjson.gz#repDiaHid12m:2026-09-20
2026-01-02,delsitanisagua,caudal_m3s,28,ords:repDiaHid12m,,2026-09-22T01:19:53Z,celec_ords/2026/09/repDiaHid12m.ndjson.gz#repDiaHid12m:2026-09-20
2026-01-02,delsitanisagua,cota_masl,1487.28,ords:repDiaHid12m,,2026-09-22T01:19:53Z,celec_ords/2026/09/repDiaHid12m.ndjson.gz#repDiaHid12m:2026-09-20
2026-01-02,mazar,caudal_m3s,25,ords:repDiaHid12m,,2026-09-22T01:19:53Z,celec_ords/2026/09/repDiaHid12m.ndjson.gz#repDiaHid12m:2026-09-20
2026-01-02,mazar,cota_masl,2140.48,ords:repDiaHid12m,,2026-09-22T01:19:53Z,celec_ords/2026/09/repDiaHid12m.ndjson.gz#repDiaHid12m:2026-09-20
2026-01-02,minas_san_francisco,caudal_m3s,18,ords:repDiaHid12m,,2026-09-22T01:19:53Z,celec_ords/2026/09/repDiaHid12m.ndjson.gz#repDiaHid12m:2026-09-20
2026-01-02,minas_san_francisco,cota_masl,788.31,ords:repDiaHid12m,,2026-09-22T01:19:53Z,celec_ords/2026/09/repDiaHid12m.ndjson.gz#repDiaHid12m:2026-09-20
2026-01-03,amaluza,caudal_m3s,118,ords:repDiaHid12m,,2026-09-22T01:19:53Z,celec_ords/2026/09/repDiaHid12m.ndjson.gz#repDiaHid12m:2026-09-20
2026-01-03,amaluza,cota_masl,1987.64,ords:repDiaHid12m,,2026-09-22T01:19:53Z,celec_ords/2026/09/repDiaHid12m.ndjson.gz#repDiaHid12m:2026-09-20
2026-01-03,delsitanisagua,caudal_m3s,27,ords:repDiaHid12m,,2026-09-22T01:19:53Z,celec_ords/2026/09/repDiaHid12m.ndjson.gz#repDiaHid12m:2026-09-20
2026-01-03,delsitanisagua,cota_masl,1487.96,ords:repDiaHid12m,,2026-09-22T01:19:53Z,celec_ords/2026/09/repDiaHid12m.ndjson.gz#repDiaHid12m:2026-09-20
2026-01-03,mazar,caudal_m3s,29,ords:repDiaHid12m,,2026-09-22T01:19:53Z,celec_ords/2026/09/repDiaHid12m.ndjson.gz#repDiaHid12m:2026-09-20
2026-01-03,mazar,cota_masl,2140.49,ords:repDiaHid12m,,2026-09-22T01:19:53Z,celec_ords/2026/09/repDiaHid12m.ndjson.gz#repDiaHid12m:2026-09-20
2026-01-03,minas_san_francisco,caudal_m3s,15,ords:repDiaHid12m,,2026-09-22T01:19:53Z,celec_ords/2026/09/repDiaHid12m.ndjson.gz#repDiaHid12m:2026-09-20
