date,site,variable,value,source,mrid,fetched_at,raw_ref
2015-01-01,amaluza,caudal_m3s,135,ords:repDiaHid12m,,2026-09-22T01:19:38Z,celec_ords/2015/09/repDiaHid12m.2015-09-20.ndjson#repDiaHid12m:2015-09-20
2015-01-01,amaluza,cota_masl,1981.8,ords:repDiaHid12m,,2026-09-22T01:19:38Z,celec_ords/2015/09/repDiaHid12m.2015-09-20.ndjson#repDiaHid12m:2015-09-20
2015-01-01,mazar,caudal_m3s,34,ords:repDiaHid12m,,2026-09-22T01:19:38Z,celec_ords/2015/09/repDiaHid12m.2015-09-20.ndjson#repDiaHid12m:2015-09-20
2015-01-01,mazar,caudal_m3s,34.117188,ords:pointValues,30538,2026-09-22T12:18:33Z,celec_ords/2015/01/pointValuesMesH24.2015-01-01.ndjson#pointValuesMesH24:30538:2015-01-01
2015-01-01,mazar,cota_masl,2145.35,ords:repDiaHid12m,,2026-09-22T01:19:38Z,celec_ords/2015/09/repDiaHid12m.2015-09-20.ndjson#repDiaHid12m:2015-09-20
2015-01-01,paute_cuenca,caudal_cuenca_m3s,147.325063,ords:csrCaudCuenAniosAvg,,2026-09-24T15:29:26Z,celec_ords/2027/01/csrCaudCuenAniosAvg.2027-01-01.ndjson#csrCaudCuenAniosAvg:2010-01-01:2027-01-01
2015-01-02,amaluza,caudal_m3s,136,ords:repDiaHid12m,,2026-09-22T01:19:38Z,celec_ords/2015/09/repDiaHid12m.2015-09-20.ndjson#repDiaHid12m:2015-09-20
2015-01-02,amaluza,cota_masl,1980.92,ords:repDiaHid12m,,2026-09-22T01:19:38Z,celec_ords/2015/09/repDiaHid12m.2015-09-20.ndjson#repDiaHid12m:2015-09-20
2015-01-02,mazar,caudal_m3s,37.837247,ords:pointValues,30538,2026-09-22T12:18:33Z,celec_ords/2015/01/pointValuesMesH24.2015-01-01.ndjson#pointValuesMesH24:30538:2015-01-01
2015-01-02,mazar,caudal_m3s,38,ords:repDiaHid12m,,2026-09-22T01:19:38Z,celec_ords/2015/09/repDiaHid12m.2015-09-20.ndjson#repDiaHid12m:2015-09-20
2015-01-02,mazar,cota_masl,2145.26,ords:repDiaHid12m,,2026-09-22T01:19:38Z,celec_ords/2015/09/repDiaHid12m.2015-09-20.ndjson#repDiaHid12m:2015-09-20
2015-01-03,amaluza,caudal_m3s,148,ords:repDiaHid12m,,2026-09-22T01:19:38Z,celec_ords/2015/09/repDiaHid12m.2015-09-20.ndjson#repDiaHid12m:2015-09-20
2015-01-03,amaluza,cota_masl,1981.46,ords:repDiaHid12m,,2026-09-22T01:19:38Z,celec_ords/2015/09/repDiaHid12m.2015-09-20.ndjson#repDiaHid12m:2015-09-20
2015-01-03,mazar,caudal_m3s,22,ords:repDiaHid12m,,2026-09-22T01:19:38Z,celec_ords/2015/09/repDiaHid12m.2015-09-20.ndjson#repDiaHid12m:2015-09-20
2015-01-03,mazar,caudal_m3s,22.453789,ords:pointValues,30538,2026-09-22T12:18:33Z,celec_ords/2015/01/pointValuesMesH24.2015-01-01.ndjson#pointValuesMesH24:30538:2015-01-01
2015-01-03,mazar,cota_masl,2144.85,ords:repDiaHid12m,,2026-09-22T01:19:38Z,celec_ords/2015/09/repDiaHid12m.2015-09-20.ndjson#repDiaHid12m:2015-09-20
2015-01-04,amaluza,caudal_m3s,110,ords:repDiaHid12m,,2026-09-22T01:19:38Z,celec_ords/2015/09/repDiaHid12m.2015-09-20.ndjson#repDiaHid12m:2015-09-20
2015-01-04,amaluza,cota_masl,1982.17,ords:repDiaHid12m,,2026-09-22T01:19:38Z,celec_ords/2015/09/repDiaHid12m.2015-09-20.ndjson#repDiaHid12m:2015-09-20
2015-01-04,mazar,caudal_m3s,30.724788,ords:pointValues,30538,2026-09-22T12:18:33Z,celec_ords/2015/01/pointValuesMesH24.2015-01-01.ndjson#pointValuesMesH24:30538:2015-01-01
2015-01-04,mazar,caudal_m3s,31,ords:repDiaHid12m,,2026-09-22T01:19:38Z,celec_ords/2015/09/repDiaHid12m.2015-09-20.ndjson#repDiaHid12m:2015-09-20
2015-01-04,mazar,cota_masl,2144.78,ords:repDiaHid12m,,2026-09-22T01:19:38Z,celec_ords/2015/09/repDiaHid12m.2015-09-20.ndjson#repDiaHid12m:2015-09-20
